Agency Name,State,NCES Agency ID,County Name,County #,Total Public Schools 2020-2021,Total Operational Public Schools 2020-2021,State Agency ID,Total Students 2020-2021,FTE Teachers 2020-2021,Total Staff 2020-2021,District #,% Operational Schools 2020-2021
ROYAL ISD,Texas,4838190.0,Waller County,48473.0,5.0,5.0,TX-237905,2476.0,186.98,340.82,237905,1.0
ROYAL PUBLIC SCHOOLS,TEXAS,4801477.0,Bexar County,48029.0,1.0,0.0,TX-015842,0.0,0.0,0.0,015842,0.0
ROYSE CITY ISD,Texas,4838220.0,Rockwall County,48397.0,9.0,9.0,TX-199902,6886.0,471.68,934.8,199902,1.0
RULE ISD,Texas,4838280.0,Haskell County,48207.0,1.0,1.0,TX-104903,141.0,16.37,31.05,104903,1.0
RUNGE ISD,Texas,4838310.0,Karnes County,48255.0,4.0,2.0,TX-128903,229.0,20.26,45.02,128903,0.5
RUSK ISD,Texas,4838360.0,Cherokee County,48073.0,5.0,5.0,TX-037907,1969.0,165.87,331.3,037907,1.0
S AND S CISD,Texas,4838400.0,Grayson County,48181.0,3.0,3.0,TX-091914,985.0,75.83,139.16,091914,1.0
SABINAL ISD,Texas,4838430.0,Uvalde County,48463.0,4.0,4.0,TX-232902,426.0,39.63,88.3,232902,1.0
SABINE ISD,Texas,4838460.0,Gregg County,48183.0,3.0,3.0,TX-092906,1521.0,110.6,225.14,092906,1.0
SABINE PASS ISD,Texas,4838490.0,Jefferson County,48245.0,2.0,1.0,TX-123913,388.0,33.64,64.25,123913,0.5
SAINT JO ISD,Texas,4838520.0,Montague County,48337.0,2.0,2.0,TX-169911,319.0,28.44,57.07,169911,1.0
SALADO ISD,Texas,4838580.0,Bell County,48027.0,6.0,4.0,TX-014908,2105.0,141.63,269.42,014908,0.6666666666666666
SALTILLO ISD,Texas,4838610.0,Hopkins County,48223.0,1.0,1.0,TX-112909,255.0,26.46,56.73,112909,1.0
SAM HOUSTON STATE UNIVERSITY CHARTER SCHOOL,TEXAS,4801454.0,Harris County,48201.0,1.0,1.0,TX-236802,400.0,24.82,35.82,236802,1.0
SAM RAYBURN ISD,Texas,4838640.0,Fannin County,48147.0,2.0,2.0,TX-074917,522.0,54.5,79.41,074917,1.0
SAN ANGELO ISD,Texas,4838700.0,Tom Green County,48451.0,23.0,23.0,TX-226903,14100.0,941.76,1867.88,226903,1.0
SAN ANTONIO ISD,Texas,4838730.0,Bexar County,48029.0,100.0,99.0,TX-015907,45802.0,3210.32,7504.09,015907,0.99
SAN ANTONIO PREPARATORY CHARTER SCHOOL,TEXAS,4801472.0,Bexar County,48029.0,1.0,1.0,TX-015840,216.0,16.0,22.25,015840,1.0
SAN AUGUSTINE ISD,Texas,4838760.0,San Augustine County,48405.0,2.0,2.0,TX-203901,687.0,53.44,131.57,203901,1.0
SAN BENITO CISD,Texas,4838790.0,Cameron County,48061.0,22.0,22.0,TX-031912,9728.0,662.25,1527.71,031912,1.0
SAN DIEGO ISD,Texas,4838820.0,Duval County,48131.0,3.0,3.0,TX-066902,1488.0,102.23,205.64,066902,1.0
SAN ELIZARIO ISD,Texas,4838850.0,El Paso County,48141.0,7.0,6.0,TX-071904,3191.0,217.75,548.54,071904,0.8571428571428571
SAN FELIPE-DEL RIO CISD,Texas,4838900.0,Val Verde County,48465.0,17.0,15.0,TX-233901,9874.0,614.0,1447.78,233901,0.8823529411764706
SAN ISIDRO ISD,Texas,4838910.0,Starr County,48427.0,2.0,2.0,TX-214902,197.0,20.0,48.72,214902,1.0
SAN MARCOS CISD,Texas,4838970.0,Hays County,48209.0,11.0,11.0,TX-105902,8013.0,561.25,1213.49,105902,1.0
SAN PERLITA ISD,Texas,4839000.0,Willacy County,48489.0,3.0,3.0,TX-245904,232.0,24.48,52.16,245904,1.0
SAN SABA ISD,Texas,4839030.0,San Saba County,48411.0,3.0,3.0,TX-206901,722.0,73.67,131.6,206901,1.0
SAN VICENTE ISD,Texas,4839060.0,Brewster County,48043.0,1.0,1.0,TX-022903,5.0,1.92,5.84,022903,1.0
SANDS CISD,Texas,4839120.0,Dawson County,48115.0,1.0,1.0,TX-058909,263.0,20.96,40.51,058909,1.0
SANFORD-FRITCH ISD,Texas,4839150.0,Hutchinson County,48233.0,3.0,3.0,TX-117903,685.0,63.8,133.66,117903,1.0
SANGER ISD,Texas,4839180.0,Denton County,48121.0,8.0,7.0,TX-061908,2569.0,194.58,458.0,061908,0.875
SANTA ANNA ISD,Texas,4839210.0,Coleman County,48083.0,2.0,2.0,TX-042903,265.0,25.5,49.22,042903,1.0
SANTA FE ISD,Texas,4839270.0,Galveston County,48167.0,7.0,6.0,TX-084909,4343.0,261.29,640.18,084909,0.8571428571428571
SANTA GERTRUDIS ISD,Texas,4839300.0,Kleberg County,48273.0,2.0,2.0,TX-137904,779.0,50.55,97.09,137904,1.0
SANTA MARIA ISD,Texas,4839330.0,Cameron County,48061.0,6.0,5.0,TX-031913,604.0,56.26,146.28,031913,0.8333333333333334
SANTA ROSA ISD,Texas,4839360.0,Cameron County,48061.0,5.0,4.0,TX-031914,935.0,77.02,187.09,031914,0.8
SANTO ISD,Texas,4839390.0,Palo Pinto County,48363.0,2.0,2.0,TX-182904,453.0,39.32,81.09,182904,1.0
SAVOY ISD,Texas,4839450.0,Fannin County,48147.0,2.0,2.0,TX-074911,303.0,28.6,54.9,074911,1.0
SCHERTZ-CIBOLO-U CITY ISD,Texas,4839480.0,Guadalupe County,48187.0,17.0,17.0,TX-094902,15673.0,988.04,1813.8,094902,1.0
SCHLEICHER ISD,Texas,4839510.0,Schleicher County,48413.0,3.0,3.0,TX-207901,521.0,53.81,99.06,207901,1.0
SCHOOL OF EXCELLENCE IN EDUCATION,Texas,4800062.0,Bexar County,48029.0,4.0,4.0,TX-015806,354.0,37.23,82.6,015806,1.0
SCHOOL OF SCIENCE AND TECHNOLOGY,Texas,4800258.0,Bexar County,48029.0,6.0,6.0,TX-015827,3274.0,217.27,324.26,015827,1.0
SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY,Texas,4801400.0,Bexar County,48029.0,6.0,6.0,TX-015831,4805.0,291.5,457.2,015831,1.0
SCHULENBURG ISD,Texas,4839540.0,Fayette County,48149.0,2.0,2.0,TX-075903,696.0,64.04,121.86,075903,1.0
SCURRY-ROSSER ISD,Texas,4839570.0,Kaufman County,48257.0,3.0,3.0,TX-129910,1073.0,80.0,187.77,129910,1.0
SEAGRAVES ISD,Texas,4839600.0,Gaines County,48165.0,1.0,1.0,TX-083901,510.0,45.98,104.58,083901,1.0
SEALY ISD,Texas,4839630.0,Austin County,48015.0,4.0,4.0,TX-008902,2814.0,206.45,363.49,008902,1.0
SEASHORE CHARTER SCHOOLS,Texas,4800289.0,Nueces County,48355.0,2.0,2.0,TX-178808,499.0,36.79,58.21,178808,1.0
SEGUIN ISD,Texas,4839690.0,Guadalupe County,48187.0,14.0,14.0,TX-094901,6899.0,466.14,1027.63,094901,1.0
SEMINOLE ISD,Texas,4839750.0,Gaines County,48165.0,6.0,6.0,TX-083903,2928.0,233.39,478.21,083903,1.0
SER-NINOS CHARTER SCHOOL,Texas,4800018.0,Harris County,48201.0,3.0,3.0,TX-101802,1095.0,68.48,102.45,101802,1.0
SEYMOUR ISD,Texas,4839780.0,Baylor County,48023.0,3.0,3.0,TX-012901,621.0,49.79,95.34,012901,1.0
SHALLOWATER ISD,Texas,4839870.0,Lubbock County,48303.0,6.0,5.0,TX-152909,1682.0,137.66,279.3,152909,0.8333333333333334
SHAMROCK ISD,Texas,4839900.0,Wheeler County,48483.0,3.0,3.0,TX-242902,407.0,41.58,87.77,242902,1.0
SHARYLAND ISD,Texas,4839930.0,Hidalgo County,48215.0,14.0,13.0,TX-108911,9765.0,631.13,1333.18,108911,0.9285714285714286
SHELBYVILLE ISD,Texas,4839960.0,Shelby County,48419.0,1.0,1.0,TX-210903,770.0,66.58,123.79,210903,1.0
SHELDON ISD,Texas,4839990.0,Harris County,48201.0,14.0,12.0,TX-101924,10206.0,637.89,1406.76,101924,0.8571428571428571
SHEPHERD ISD,Texas,4840020.0,San Jacinto County,48407.0,4.0,4.0,TX-204904,1930.0,132.83,302.82,204904,1.0
SHERMAN ISD,Texas,4840080.0,Grayson County,48181.0,17.0,14.0,TX-091906,7503.0,561.08,1110.41,091906,0.8235294117647058
SHINER ISD,Texas,4840110.0,Lavaca County,48285.0,3.0,2.0,TX-143903,702.0,54.21,88.5,143903,0.6666666666666666
SIDNEY ISD,Texas,4840170.0,Comanche County,48093.0,1.0,1.0,TX-047905,142.0,14.08,25.48,047905,1.0
SIERRA BLANCA ISD,Texas,4840200.0,Hudspeth County,48229.0,1.0,1.0,TX-115902,129.0,11.45,22.15,115902,1.0
SILSBEE ISD,Texas,4840230.0,Hardin County,48199.0,5.0,5.0,TX-100904,2743.0,197.51,398.04,100904,1.0
SILVERTON ISD,Texas,4840290.0,Briscoe County,48045.0,1.0,1.0,TX-023902,188.0,20.44,37.6,023902,1.0
SIMMS ISD,Texas,4840320.0,Bowie County,48037.0,3.0,3.0,TX-019909,483.0,45.0,80.84,019909,1.0
SINTON ISD,Texas,4840350.0,San Patricio County,48409.0,5.0,5.0,TX-205906,2074.0,144.0,319.7,205906,1.0
SIVELLS BEND ISD,Texas,4840380.0,Cooke County,48097.0,1.0,1.0,TX-049909,49.0,7.57,12.0,049909,1.0
SKIDMORE-TYNAN ISD,Texas,4840410.0,Bee County,48025.0,3.0,3.0,TX-013905,806.0,66.31,129.98,013905,1.0
SLATON ISD,Texas,4840440.0,Lubbock County,48303.0,6.0,5.0,TX-152903,1326.0,112.39,274.58,152903,0.8333333333333334
SLIDELL ISD,Texas,4840470.0,Wise County,48497.0,1.0,1.0,TX-249908,344.0,25.46,47.1,249908,1.0
SLOCUM ISD,Texas,4840500.0,Anderson County,48001.0,2.0,2.0,TX-001909,366.0,35.8,66.79,001909,1.0
SMITHVILLE ISD,Texas,4840550.0,Bastrop County,48021.0,5.0,4.0,TX-011904,1753.0,133.64,260.53,011904,0.8
SMYER ISD,Texas,4840590.0,Hockley County,48219.0,1.0,1.0,TX-110906,412.0,41.1,59.95,110906,1.0
SNOOK ISD,Texas,4840620.0,Burleson County,48051.0,2.0,2.0,TX-026903,489.0,44.86,100.1,026903,1.0
SNYDER ISD,Texas,4840650.0,Scurry County,48415.0,4.0,4.0,TX-208902,2610.0,204.49,396.25,208902,1.0
SOCORRO ISD,Texas,4840710.0,El Paso County,48141.0,53.0,50.0,TX-071909,47061.0,2931.18,6020.31,071909,0.9433962264150944
SOMERSET ISD,Texas,4840740.0,Bexar County,48029.0,8.0,8.0,TX-015909,4021.0,265.47,600.36,015909,1.0
SOMERVILLE ISD,Texas,4840770.0,Burleson County,48051.0,3.0,3.0,TX-026902,518.0,52.42,96.17,026902,1.0
SONORA ISD,Texas,4840800.0,Sutton County,48435.0,2.0,2.0,TX-218901,699.0,68.44,124.31,218901,1.0
SOUTH SAN ANTONIO ISD,Texas,4840680.0,Bexar County,48029.0,18.0,16.0,TX-015908,8267.0,554.27,1247.13,015908,0.8888888888888888
SOUTH TEXAS ISD,Texas,4837150.0,Hidalgo County,48215.0,8.0,6.0,TX-031916,4194.0,304.37,645.72,031916,0.75
SOUTHLAND ISD,Texas,4840890.0,Garza County,48169.0,1.0,1.0,TX-085903,117.0,16.33,28.37,085903,1.0
SOUTHSIDE ISD,Texas,4840920.0,Bexar County,48029.0,11.0,8.0,TX-015917,5595.0,374.97,892.59,015917,0.7272727272727273
SOUTHWEST ISD,Texas,4840950.0,Bexar County,48029.0,19.0,18.0,TX-015912,13474.0,951.35,2054.39,015912,0.9473684210526315
SOUTHWEST PREPARATORY SCHOOL,Texas,4800063.0,Bexar County,48029.0,6.0,6.0,TX-015807,850.0,75.58,157.62,015807,1.0
SOUTHWEST SCHOOL,Texas,4800125.0,Harris County,48201.0,6.0,6.0,TX-101838,1703.0,108.43,217.12,101838,1.0
SPEARMAN ISD,Texas,4841010.0,Hansford County,48195.0,3.0,3.0,TX-098904,812.0,77.48,151.37,098904,1.0
SPLENDORA ISD,Texas,4841070.0,Montgomery County,48339.0,7.0,7.0,TX-170907,4170.0,302.31,647.3,170907,1.0
SPRING BRANCH ISD,Texas,4841100.0,Harris County,48201.0,51.0,48.0,TX-101920,33288.0,2151.52,4588.44,101920,0.9411764705882353
SPRING CREEK ISD,Texas,4841130.0,Hutchinson County,48233.0,1.0,1.0,TX-117907,106.0,11.56,20.2,117907,1.0
SPRING HILL ISD,Texas,4841190.0,Gregg County,48183.0,5.0,4.0,TX-092907,2006.0,150.2,268.35,092907,0.8
SPRING ISD,Texas,4841220.0,Harris County,48201.0,44.0,42.0,TX-101919,33567.0,2257.58,5186.61,101919,0.9545454545454546
SPRINGLAKE-EARTH ISD,Texas,4841250.0,Lamb County,48279.0,3.0,2.0,TX-140907,306.0,35.78,67.7,140907,0.6666666666666666
SPRINGTOWN ISD,Texas,4841280.0,Parker County,48367.0,6.0,6.0,TX-184902,3619.0,271.71,517.6,184902,1.0
SPUR ISD,Texas,4800002.0,Dickens County,48125.0,1.0,1.0,TX-063903,240.0,28.01,55.88,063903,1.0
SPURGER ISD,Texas,4841340.0,Tyler County,48457.0,2.0,2.0,TX-229905,358.0,36.99,79.57,229905,1.0
ST ANTHONY SCHOOL,Texas,4800248.0,Dallas County,48113.0,2.0,2.0,TX-057836,327.0,22.27,40.46,057836,1.0
ST MARY'S ACADEMY CHARTER SCHOOL,Texas,4800177.0,Bee County,48025.0,1.0,1.0,TX-013801,391.0,24.27,70.54,013801,1.0
STAFFORD MSD,Texas,4841350.0,Fort Bend County,48157.0,7.0,4.0,TX-079910,3316.0,235.6,462.05,079910,0.5714285714285714
STAMFORD ISD,Texas,4841400.0,Jones County,48253.0,3.0,3.0,TX-127906,595.0,58.31,130.68,127906,1.0
STANTON ISD,Texas,4841430.0,Martin County,48317.0,3.0,3.0,TX-156902,1054.0,87.84,169.34,156902,1.0
STEP CHARTER SCHOOL,Texas,4800275.0,Harris County,48201.0,2.0,2.0,TX-101859,497.0,34.98,64.43,101859,1.0
STEPHEN F AUSTIN STATE UNIVERSITY CHARTER SCHOOL,Texas,4801395.0,Nacogdoches County,48347.0,1.0,1.0,TX-174801,255.0,17.53,30.61,174801,1.0
STEPHENVILLE ISD,Texas,4841520.0,Erath County,48143.0,6.0,6.0,TX-072903,3659.0,262.66,475.91,072903,1.0
STERLING CITY ISD,Texas,4841550.0,Sterling County,48431.0,6.0,5.0,TX-216901,338.0,28.99,59.79,216901,0.8333333333333334
STOCKDALE ISD,Texas,4841610.0,Wilson County,48493.0,5.0,4.0,TX-247906,780.0,73.65,141.28,247906,0.8
STRATFORD ISD,Texas,4841670.0,Sherman County,48421.0,3.0,3.0,TX-211902,576.0,58.0,100.36,211902,1.0
STRAWN ISD,Texas,4841700.0,Palo Pinto County,48363.0,2.0,1.0,TX-182905,142.0,18.77,29.59,182905,0.5
SUDAN ISD,Texas,4841760.0,Lamb County,48279.0,2.0,2.0,TX-140908,480.0,44.03,72.53,140908,1.0
SULPHUR BLUFF ISD,Texas,4841790.0,Hopkins County,48223.0,1.0,1.0,TX-112910,218.0,20.35,42.21,112910,1.0
SULPHUR SPRINGS ISD,Texas,4841820.0,Hopkins County,48223.0,8.0,8.0,TX-112901,4313.0,362.78,697.9,112901,1.0
SUNDOWN ISD,Texas,4841850.0,Hockley County,48219.0,4.0,3.0,TX-110907,583.0,59.23,103.25,110907,0.75
SUNNYVALE ISD,Texas,4841880.0,Dallas County,48113.0,5.0,4.0,TX-057919,2025.0,139.53,273.18,057919,0.8
SUNRAY ISD,Texas,4841910.0,Moore County,48341.0,3.0,3.0,TX-171902,591.0,59.9,125.92,171902,1.0
SWEENY ISD,Texas,4841970.0,Brazoria County,48039.0,4.0,3.0,TX-020906,1848.0,135.47,287.09,020906,0.75
SWEET HOME ISD,Texas,4842000.0,Lavaca County,48285.0,1.0,1.0,TX-143905,143.0,12.49,22.76,143905,1.0
SWEETWATER ISD,Texas,4842030.0,Nolan County,48353.0,7.0,7.0,TX-177902,2083.0,156.45,402.08,177902,1.0
TAFT ISD,Texas,4842060.0,San Patricio County,48409.0,3.0,3.0,TX-205907,940.0,83.5,177.79,205907,1.0
TAHOKA ISD,Texas,4842090.0,Lynn County,48305.0,3.0,3.0,TX-153904,597.0,63.05,125.27,153904,1.0
TARKINGTON ISD,Texas,4842210.0,Liberty County,48291.0,4.0,4.0,TX-146907,1718.0,138.75,269.73,146907,1.0
TATUM ISD,Texas,4842240.0,Rusk County,48401.0,4.0,4.0,TX-201910,1473.0,108.42,231.19,201910,1.0
TAYLOR ISD,Texas,4842280.0,Williamson County,48491.0,8.0,6.0,TX-246911,2973.0,225.81,484.28,246911,0.75
TEAGUE ISD,Texas,4842300.0,Freestone County,48161.0,5.0,5.0,TX-081904,1163.0,89.95,187.9,081904,1.0
TEKOA ACADEMY OF ACCELERATED STUDIES STEM SCHOOL,Texas,4800139.0,Jefferson County,48245.0,4.0,4.0,TX-123803,457.0,30.99,50.99,123803,1.0
TEMPLE ISD,Texas,4842330.0,Bell County,48027.0,17.0,16.0,TX-014909,8403.0,594.49,1168.81,014909,0.9411764705882353
TENAHA ISD,Texas,4842360.0,Shelby County,48419.0,1.0,1.0,TX-210904,500.0,38.33,79.71,210904,1.0
TERLINGUA CSD,Texas,4842390.0,Brewster County,48043.0,1.0,1.0,TX-022004,98.0,11.21,25.14,022004,1.0
TERRELL COUNTY ISD,Texas,4842420.0,Terrell County,48443.0,1.0,1.0,TX-222901,121.0,14.0,27.87,222901,1.0
TERRELL ISD,Texas,4842450.0,Kaufman County,48257.0,9.0,9.0,TX-129906,4728.0,305.41,605.89,129906,1.0
TEXANS CAN ACADEMIES,Texas,4800016.0,Dallas County,48113.0,13.0,13.0,TX-057804,4679.0,292.58,619.28,057804,1.0
TEXARKANA ISD,Texas,4842480.0,Bowie County,48037.0,13.0,13.0,TX-019907,7654.0,544.76,1098.42,019907,1.0
TEXAS CITY ISD,Texas,4842510.0,Galveston County,48167.0,15.0,15.0,TX-084906,8044.0,570.63,1270.04,084906,1.0
TEXAS COLLEGE PREPARATORY ACADEMIES,Texas,4800163.0,Denton County,48121.0,38.0,37.0,TX-221801,15671.0,1092.05,2189.63,221801,0.9736842105263158
TEXAS EMPOWERMENT ACADEMY,Texas,4800066.0,Travis County,48453.0,2.0,2.0,TX-227805,360.0,26.02,49.14,227805,1.0
TEXAS JUVENILE JUSTICE DEPARTMENT,Texas,4801432.0,Travis County,48453.0,5.0,5.0,TX-227622,589.0,,,227622,1.0
TEXAS LEADERSHIP PUBLIC SCHOOLS,Texas,4801409.0,Tom Green County,48451.0,4.0,4.0,TX-226801,2863.0,203.17,383.68,226801,1.0
TEXAS PREPARATORY SCHOOL,Texas,4800194.0,Hays County,48209.0,2.0,2.0,TX-105802,160.0,18.94,50.44,105802,1.0
TEXAS SCH FOR THE BLIND & VISUALLY IMPAIRED,Texas,4800252.0,Travis County,48453.0,1.0,1.0,TX-227905,126.0,,,227905,1.0
TEXAS SCH FOR THE DEAF,Texas,4800253.0,Travis County,48453.0,1.0,1.0,TX-227906,505.0,,,227906,1.0
TEXAS SCHOOL OF THE ARTS,Texas,4800287.0,Tarrant County,48439.0,1.0,1.0,TX-220814,287.0,22.88,50.79,220814,1.0
TEXAS SERENITY ACADEMY,Texas,4800151.0,Harris County,48201.0,2.0,2.0,TX-170801,418.0,31.83,65.35,170801,1.0
TEXHOMA ISD,Texas,4842540.0,Sherman County,48421.0,1.0,1.0,TX-211901,169.0,10.28,24.68,211901,1.0
TEXLINE ISD,Texas,4842570.0,Dallam County,48111.0,1.0,1.0,TX-056902,199.0,20.94,32.32,056902,1.0
THE EXCEL CENTER (FOR ADULTS),TEXAS,4801448.0,Travis County,48453.0,6.0,5.0,TX-227827,783.0,38.46,76.99,227827,0.8333333333333334
THE GATHERING PLACE,TEXAS,4801471.0,Bexar County,48029.0,1.0,1.0,TX-015841,348.0,20.63,48.99,015841,1.0
THE LAWSON ACADEMY,Texas,4801418.0,Harris County,48201.0,1.0,1.0,TX-101864,182.0,14.92,25.7,101864,1.0
THE PRO-VISION ACADEMY,Texas,4801434.0,Harris County,48201.0,2.0,2.0,TX-101868,432.0,29.0,44.5,101868,1.0
THE RHODES SCHOOL,Texas,4800283.0,Harris County,48201.0,3.0,3.0,TX-101861,718.0,51.09,122.7,101861,1.0
THE VARNETT PUBLIC SCHOOL,Texas,4800073.0,Harris County,48201.0,3.0,3.0,TX-101814,1333.0,70.55,177.4,101814,1.0
THORNDALE ISD,Texas,4842630.0,Milam County,48331.0,3.0,3.0,TX-166905,576.0,53.21,100.56,166905,1.0
THRALL ISD,Texas,4842660.0,Williamson County,48491.0,5.0,3.0,TX-246912,777.0,58.83,101.72,246912,0.6
THREE RIVERS ISD,Texas,4842690.0,Live Oak County,48297.0,2.0,2.0,TX-149902,570.0,58.92,109.04,149902,1.0
THREE WAY ISD,Texas,4842720.0,Erath County,48143.0,1.0,1.0,TX-072901,215.0,20.21,35.75,072901,1.0
THROCKMORTON COLLEGIATE ISD,Texas,4842780.0,Throckmorton County,48447.0,1.0,1.0,TX-224901,140.0,17.16,31.22,224901,1.0
TIDEHAVEN ISD,Texas,4842810.0,Matagorda County,48321.0,4.0,4.0,TX-158902,955.0,71.15,151.87,158902,1.0
TIMPSON ISD,Texas,4842840.0,Shelby County,48419.0,1.0,1.0,TX-210905,649.0,58.53,108.7,210905,1.0
TIOGA ISD,Texas,4842870.0,Grayson County,48181.0,1.0,1.0,TX-091907,737.0,62.34,116.63,091907,1.0
TOLAR ISD,Texas,4842900.0,Hood County,48221.0,3.0,3.0,TX-111903,806.0,68.28,113.39,111903,1.0
TOM BEAN ISD,Texas,4842930.0,Grayson County,48181.0,3.0,3.0,TX-091918,659.0,55.95,100.26,091918,1.0
TOMBALL ISD,Texas,4842960.0,Harris County,48201.0,23.0,22.0,TX-101921,18666.0,1172.4,2356.05,101921,0.9565217391304348
TORNILLO ISD,Texas,4842990.0,El Paso County,48141.0,5.0,4.0,TX-071908,914.0,71.5,176.88,071908,0.8
TREETOPS SCHOOL INTERNATIONAL,Texas,4800068.0,Tarrant County,48439.0,1.0,1.0,TX-220801,391.0,31.0,39.02,220801,1.0
TRENT ISD,Texas,4843110.0,Taylor County,48441.0,1.0,1.0,TX-221905,131.0,18.0,33.09,221905,1.0
TRENTON ISD,Texas,4843140.0,Fannin County,48147.0,3.0,3.0,TX-074912,725.0,48.11,91.97,074912,1.0
TRINIDAD ISD,Texas,4843170.0,Henderson County,48213.0,1.0,1.0,TX-107907,158.0,21.99,32.98,107907,1.0
TRINITY BASIN PREPARATORY,Texas,4800092.0,Tarrant County,48439.0,3.0,3.0,TX-057813,4189.0,265.87,530.87,057813,1.0
TRINITY CHARTER SCHOOL,Texas,4800259.0,Travis County,48453.0,12.0,11.0,TX-046802,400.0,52.32,101.37,046802,0.9166666666666666
TRINITY ISD,Texas,4843200.0,Trinity County,48455.0,3.0,3.0,TX-228903,1161.0,95.77,185.63,228903,1.0
TRIUMPH PUBLIC HIGH SCHOOLS-EL PASO,Texas,4800106.0,El Paso County,48141.0,2.0,2.0,TX-071803,176.0,10.24,23.53,071803,1.0
TRIUMPH PUBLIC HIGH SCHOOLS-LAREDO,Texas,4800174.0,Webb County,48479.0,2.0,2.0,TX-240801,242.0,13.0,80.16,240801,1.0
TRIUMPH PUBLIC HIGH SCHOOLS-LUBBOCK,Texas,4800142.0,Lubbock County,48303.0,1.0,1.0,TX-152803,193.0,9.92,21.24,152803,1.0
TRIUMPH PUBLIC HIGH SCHOOLS-RIO GRANDE VALLEY,Texas,4800133.0,Hidalgo County,48215.0,4.0,4.0,TX-108804,498.0,21.01,64.29,108804,1.0
TRIVIUM ACADEMY,TEXAS,4801456.0,Denton County,48121.0,1.0,1.0,TX-061805,598.0,52.15,59.97,061805,1.0
TROUP ISD,Texas,4843230.0,Smith County,48423.0,3.0,3.0,TX-212904,1023.0,87.84,170.32,212904,1.0
TROY ISD,Texas,4843260.0,Bell County,48027.0,5.0,4.0,TX-014910,1571.0,105.48,213.27,014910,0.8
TULIA ISD,Texas,4843320.0,Swisher County,48437.0,3.0,3.0,TX-219903,950.0,88.74,181.48,219903,1.0
TULOSO-MIDWAY ISD,Texas,4843350.0,Nueces County,48355.0,6.0,5.0,TX-178912,3846.0,278.02,526.99,178912,0.8333333333333334
TURKEY-QUITAQUE ISD,Texas,4843400.0,Briscoe County,48045.0,1.0,1.0,TX-096905,195.0,22.96,34.85,096905,1.0
TWO DIMENSIONS PREPARATORY ACADEMY,Texas,4800069.0,Harris County,48201.0,3.0,3.0,TX-101840,440.0,22.85,63.76,101840,1.0
TYLER ISD,Texas,4843470.0,Smith County,48423.0,26.0,26.0,TX-212905,17721.0,1234.66,2489.32,212905,1.0
UME PREPARATORY ACADEMY,Texas,4801425.0,Dallas County,48113.0,2.0,2.0,TX-057845,1270.0,80.74,132.75,057845,1.0
UNION GROVE ISD,Texas,4843530.0,Upshur County,48459.0,3.0,3.0,TX-230908,721.0,64.53,115.04,230908,1.0
UNION HILL ISD,Texas,4843560.0,Upshur County,48459.0,2.0,2.0,TX-230904,307.0,33.38,64.02,230904,1.0
UNITED ISD,Texas,4843650.0,Webb County,48479.0,53.0,51.0,TX-240903,41902.0,2590.6,6334.07,240903,0.9622641509433962
UNIVERSAL ACADEMY,Texas,4800070.0,Dallas County,48113.0,3.0,2.0,TX-057808,2397.0,138.86,201.05,057808,0.6666666666666666
UNIVERSITY OF HOUSTON CHARTER SCHOOL,Texas,4800031.0,Harris County,48201.0,1.0,1.0,TX-101807,86.0,6.0,12.0,101807,1.0
UNIVERSITY OF TEXAS AT AUSTIN H S,TEXAS,4801473.0,Travis County,48453.0,1.0,1.0,TX-227506,274.0,11.34,22.71,227506,1.0
UNIVERSITY OF TEXAS ELEMENTARY CHARTER SCHOOL,Texas,4800251.0,Travis County,48453.0,1.0,1.0,TX-227819,290.0,22.82,38.46,227819,1.0
UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL,Texas,4800071.0,Travis County,48453.0,23.0,23.0,TX-227806,618.0,76.36,136.09,227806,1.0
UPLIFT EDUCATION,Texas,4800030.0,Dallas County,48113.0,43.0,42.0,TX-057803,21521.0,1369.08,2490.89,057803,0.9767441860465116
UT TYLER UNIVERSITY ACADEMY,Texas,4801427.0,Smith County,48423.0,3.0,3.0,TX-212804,827.0,56.94,87.75,212804,1.0
UTOPIA ISD,Texas,4843680.0,Uvalde County,48463.0,1.0,1.0,TX-232904,206.0,19.16,39.97,232904,1.0
UTPB STEM ACADEMY,TEXAS,4801443.0,Ector County,48135.0,1.0,1.0,TX-068803,792.0,44.73,60.54,068803,1.0
UVALDE CISD,Texas,4843720.0,Uvalde County,48463.0,9.0,8.0,TX-232903,4150.0,278.92,733.98,232903,0.8888888888888888
VALENTINE ISD,Texas,4843740.0,Jeff Davis County,48243.0,1.0,1.0,TX-122902,35.0,9.76,15.79,122902,1.0
VALLEY MILLS ISD,Texas,4843760.0,McLennan County,48309.0,5.0,3.0,TX-018904,618.0,55.24,94.73,018904,0.6
VALLEY VIEW ISD,Texas,4843800.0,Hidalgo County,48215.0,9.0,8.0,TX-108916,4132.0,273.79,660.15,108916,0.8888888888888888
VALLEY VIEW ISD,Texas,4843860.0,Cooke County,48097.0,3.0,3.0,TX-049903,886.0,71.79,162.57,049903,1.0
VALOR PUBLIC SCHOOLS,TEXAS,4801461.0,Travis County,48453.0,2.0,2.0,TX-227829,1091.0,59.77,94.07,227829,1.0
VAN ALSTYNE ISD,Texas,4843890.0,Grayson County,48181.0,4.0,4.0,TX-091908,1868.0,124.79,228.63,091908,1.0
