Agency Name,State,NCES Agency ID,County Name,County #,Total Public Schools 2020-2021,Total Operational Public Schools 2020-2021,State Agency ID,Total Students 2020-2021,FTE Teachers 2020-2021,Total Staff 2020-2021,District #,% Operational Schools 2020-2021
LONE STAR LANGUAGE ACADEMY,TEXAS,4801452.0,Collin County,48085.0,1.0,1.0,TX-043802,206.0,15.86,19.85,043802,1.0
LONGVIEW ISD,Texas,4828110.0,Gregg County,48183.0,15.0,15.0,TX-092903,8254.0,608.6,1232.68,092903,1.0
LOOP ISD,Texas,4828140.0,Gaines County,48165.0,1.0,1.0,TX-083902,146.0,17.25,32.49,083902,1.0
LORAINE ISD,Texas,4828170.0,Mitchell County,48335.0,1.0,1.0,TX-168902,143.0,18.18,36.61,168902,1.0
LORENA ISD,Texas,4828200.0,McLennan County,48309.0,5.0,4.0,TX-161907,1741.0,124.95,248.13,161907,0.8
LORENZO ISD,Texas,4828230.0,Crosby County,48107.0,1.0,1.0,TX-054902,229.0,24.49,73.47,054902,1.0
LOS FRESNOS CISD,Texas,4828290.0,Cameron County,48061.0,15.0,15.0,TX-031906,10529.0,665.91,1546.28,031906,1.0
LOUISE ISD,Texas,4828350.0,Wharton County,48481.0,3.0,3.0,TX-241906,493.0,42.38,79.74,241906,1.0
LOVEJOY ISD,Texas,4828380.0,Collin County,48085.0,8.0,6.0,TX-043919,4206.0,285.58,590.94,043919,0.75
LOVELADY ISD,Texas,4828410.0,Houston County,48225.0,2.0,2.0,TX-113903,512.0,49.41,86.24,113903,1.0
LUBBOCK ISD,Texas,4828500.0,Lubbock County,48303.0,50.0,50.0,TX-152901,26451.0,2003.97,3475.34,152901,1.0
LUBBOCK-COOPER ISD,Texas,4815180.0,Lubbock County,48303.0,10.0,10.0,TX-152906,7115.0,547.78,975.92,152906,1.0
LUEDERS-AVOCA ISD,Texas,4828530.0,Jones County,48253.0,2.0,2.0,TX-127905,107.0,17.21,30.38,127905,1.0
LUFKIN ISD,Texas,4828550.0,Angelina County,48005.0,18.0,17.0,TX-003903,7432.0,592.97,1320.52,003903,0.9444444444444444
LULING ISD,Texas,4828590.0,Caldwell County,48055.0,4.0,4.0,TX-028903,1418.0,95.49,187.23,028903,1.0
LUMBERTON ISD,Texas,4813530.0,Hardin County,48199.0,6.0,5.0,TX-100907,4144.0,275.87,516.03,100907,0.8333333333333334
LUMIN EDUCATION,Texas,4800089.0,Dallas County,48113.0,1.0,1.0,TX-057805,256.0,18.38,51.76,057805,1.0
LYFORD CISD,Texas,4828620.0,Willacy County,48489.0,4.0,4.0,TX-245902,1449.0,100.22,260.76,245902,1.0
