ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): TEXAS

Agency Name,State Name [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,County Name [District] 2020-21,County Number [District] 2020-21,Total Number Operational Schools [Public School] 2020-21,Total Number of Public Schools [Public School] 2020-21,State Agency ID [District] 2020-21,Total Students All Grades (Excludes AE) [District] 2020-21,Full-Time Equivalent (FTE) Teachers [District] 2020-21,Total Staff [District] 2020-21,Locale [District] 2020-21
COLUMBUS ISD,Texas,4814700,Colorado County,48089,4,4,TX-045902,1536,122.58,228.12,33-Town: Remote
COMAL ISD,Texas,4814730,Comal County,48091,35,39,TX-046902,25459,1617.95,3106.09,41-Rural: Fringe
COMANCHE ISD,Texas,4814760,Comanche County,48093,4,4,TX-047901,1318,108.09,216.83,41-Rural: Fringe
COMFORT ISD,Texas,4814790,Kendall County,48259,3,3,TX-130902,1064,87.79,153.14,32-Town: Distant
COMMERCE ISD,Texas,4814820,Hunt County,48231,4,4,TX-116903,1462,121.71,250.94,41-Rural: Fringe
COMMUNITY ISD,Texas,4814850,Collin County,48085,5,8,TX-043918,2757,171.49,329.88,41-Rural: Fringe
COMO-PICKTON CISD,Texas,4814880,Hopkins County,48223,1,1,TX-112908,709,63.24,119.90,42-Rural: Distant
COMPASS ACADEMY CHARTER SCHOOL,Texas,4801417,Ector County,48135,1,1,TX-068802,1322,77.04,108.15,12-City: Mid-size
COMPASS ROSE ACADEMY,TEXAS,4801457,Bexar County,48029,3,3,TX-015838,1154,50.75,113.84,11-City: Large
COMQUEST ACADEMY,Texas,4800127,Harris County,48201,1,1,TX-101842,38,2.23,7.92,21-Suburb: Large
COMSTOCK ISD,Texas,4814920,Val Verde County,48465,1,1,TX-233903,231,18.57,32.97,43-Rural: Remote
CONNALLY ISD,Texas,4814970,McLennan County,48309,5,6,TX-161921,2342,186.09,389.01,22-Suburb: Mid-size
CONROE ISD,Texas,4815000,Montgomery County,48339,61,65,TX-170902,64563,4110.60,8248.42,13-City: Small
COOLIDGE ISD,Texas,4815120,Limestone County,48293,2,2,TX-147901,309,29.37,52.25,42-Rural: Distant
COOPER ISD,Texas,4815150,Delta County,48119,3,3,TX-060902,806,66.08,124.74,43-Rural: Remote
COPPELL ISD,Texas,4815210,Dallas County,48113,16,18,TX-057922,13052,859.83,1448.42,21-Suburb: Large
COPPERAS COVE ISD,Texas,4815240,Coryell County,48099,11,11,TX-050910,8052,564.09,1270.48,22-Suburb: Mid-size
CORPUS CHRISTI ISD,Texas,4815270,Nueces County,48355,58,58,TX-178904,34511,2232.46,4631.43,11-City: Large
CORPUS CHRISTI MONTESSORI SCHOOL,Texas,4800279,Nueces County,48355,1,1,TX-178807,116,7.63,17.63,11-City: Large
CORRIGAN-CAMDEN ISD,Texas,4815300,Polk County,48373,3,3,TX-187904,789,65.94,152.42,43-Rural: Remote
CORSICANA ISD,Texas,4815330,Navarro County,48349,9,9,TX-175903,6059,416.10,865.69,32-Town: Distant
COTTON CENTER ISD,Texas,4815360,Hale County,48189,1,1,TX-095902,96,14.06,30.85,42-Rural: Distant
COTULLA ISD,Texas,4815400,La Salle County,48283,4,4,TX-142901,1265,111.89,262.14,33-Town: Remote
COUPLAND ISD,Texas,4815420,Williamson County,48491,1,1,TX-246914,173,12.84,23.77,42-Rural: Distant
COVINGTON ISD,Texas,4815480,Hill County,48217,1,2,TX-109903,276,23.58,82.73,42-Rural: Distant
CRANDALL ISD,Texas,4815510,Kaufman County,48257,8,8,TX-129901,4868,327.05,623.55,41-Rural: Fringe
CRANE ISD,Texas,4815540,Crane County,48103,3,3,TX-052901,1099,87.05,172.18,32-Town: Distant
CRANFILLS GAP ISD,Texas,4815570,Bosque County,48035,1,1,TX-018908,129,15.21,29.67,43-Rural: Remote
CRAWFORD ISD,Texas,4815600,McLennan County,48309,2,3,TX-161901,561,52.51,88.35,42-Rural: Distant
CROCKETT COUNTY CONSOLIDATED CSD,Texas,4815690,Crockett County,48105,3,3,TX-053001,764,66.36,134.78,33-Town: Remote
CROCKETT ISD,Texas,4815720,Houston County,48225,4,4,TX-113901,1273,100.46,198.82,33-Town: Remote
CROSBY ISD,Texas,4815750,Harris County,48201,9,10,TX-101906,6337,395.01,737.54,41-Rural: Fringe
CROSBYTON CISD,Texas,4800001,Crosby County,48107,3,4,TX-054901,316,34.75,63.90,43-Rural: Remote
CROSS PLAINS ISD,Texas,4815810,Callahan County,48059,2,2,TX-030901,363,35.75,65.59,43-Rural: Remote
CROSS ROADS ISD,Texas,4815840,Henderson County,48213,3,3,TX-107904,528,52.85,99.54,42-Rural: Distant
CROSSTIMBERS ACADEMY,Texas,4800278,Parker County,48367,1,1,TX-184801,120,9.00,19.00,41-Rural: Fringe
CROWELL ISD,Texas,4815870,Foard County,48155,1,1,TX-078901,202,21.39,49.11,43-Rural: Remote
CROWLEY ISD,Texas,4815910,Tarrant County,48439,22,23,TX-220912,15731,1149.24,1937.18,11-City: Large
CRYSTAL CITY ISD,Texas,4815930,Zavala County,48507,5,5,TX-254901,1838,112.89,307.14,33-Town: Remote
CUERO ISD,Texas,4815960,DeWitt County,48123,4,4,TX-062901,1911,160.10,344.72,32-Town: Distant
CULBERSON COUNTY-ALLAMOORE ISD,Texas,4815990,Culberson County,48109,1,1,TX-055901,387,33.60,73.73,43-Rural: Remote
CUMBERLAND ACADEMY,Texas,4800034,Smith County,48423,4,5,TX-212801,1961,161.96,250.96,12-City: Mid-size
CUMBY ISD,Texas,4816020,Hopkins County,48223,2,2,TX-112905,420,40.29,70.20,42-Rural: Distant
CUSHING ISD,Texas,4816080,Nacogdoches County,48347,2,2,TX-174902,576,40.50,78.85,43-Rural: Remote
CYPRESS-FAIRBANKS ISD,Texas,4816110,Harris County,48201,90,90,TX-101907,114881,7659.35,15496.08,21-Suburb: Large
D'HANIS ISD,Texas,4816140,Medina County,48325,1,1,TX-163902,315,34.28,62.16,42-Rural: Distant
DAINGERFIELD-LONE STAR ISD,Texas,4816180,Morris County,48343,4,4,TX-172902,1057,85.80,198.92,32-Town: Distant
DALHART ISD,Texas,4816200,Dallam County,48111,4,4,TX-056901,1632,132.38,221.66,41-Rural: Fringe
DALLAS ISD,Texas,4816230,Dallas County,48113,233,246,TX-057905,145113,10265.92,21286.79,11-City: Large
DAMON ISD,Texas,4816260,Brazoria County,48039,1,2,TX-020910,115,12.00,23.90,42-Rural: Distant
DANBURY ISD,Texas,4816290,Brazoria County,48039,3,4,TX-020904,759,62.22,110.38,41-Rural: Fringe
DARROUZETT ISD,Texas,4816320,Lipscomb County,48295,1,1,TX-148905,139,16.68,31.77,43-Rural: Remote
DAWSON ISD,Texas,4816380,Navarro County,48349,3,3,TX-175904,509,43.00,96.51,43-Rural: Remote
DAWSON ISD,Texas,4816350,Dawson County,48115,1,1,TX-058902,151,12.41,27.79,43-Rural: Remote
DAYTON ISD,Texas,4816410,Liberty County,48291,7,7,TX-146902,5480,344.79,750.32,32-Town: Distant
DE LEON ISD,Texas,4816440,Comanche County,48093,3,3,TX-047902,739,55.43,133.00,43-Rural: Remote
DECATUR ISD,Texas,4816500,Wise County,48497,5,5,TX-249905,3429,232.20,462.30,32-Town: Distant
DEER PARK ISD,Texas,4816530,Harris County,48201,14,15,TX-101908,12370,814.96,1887.67,21-Suburb: Large
DEKALB ISD,Texas,4816570,Bowie County,48037,3,3,TX-019901,759,70.00,128.99,42-Rural: Distant
DEL VALLE ISD,Texas,4816620,Travis County,48453,14,15,TX-227910,10654,801.62,1724.98,41-Rural: Fringe
DELL CITY ISD,Texas,4816650,Hudspeth County,48229,1,1,TX-115903,71,10.84,24.32,43-Rural: Remote
DENISON ISD,Texas,4816710,Grayson County,48181,9,9,TX-091903,4591,341.60,622.72,13-City: Small
DENTON ISD,Texas,4816740,Denton County,48121,42,44,TX-061901,30267,2375.10,4127.77,12-City: Mid-size
DENVER CITY ISD,Texas,4816770,Yoakum County,48501,4,4,TX-251901,1638,121.74,256.73,33-Town: Remote
DESOTO ISD,Texas,4816860,Dallas County,48113,12,13,TX-057906,7929,487.68,976.29,21-Suburb: Large
DETROIT ISD,Texas,4816890,Red River County,48387,3,3,TX-194905,516,48.47,127.05,43-Rural: Remote
DEVERS ISD,Texas,4816920,Liberty County,48291,2,3,TX-146903,205,13.40,25.87,42-Rural: Distant
DEVINE ISD,Texas,4816950,Medina County,48325,5,6,TX-163901,1984,136.28,290.86,41-Rural: Fringe
DEW ISD,Texas,4816980,Freestone County,48161,1,1,TX-081906,164,18.99,36.19,42-Rural: Distant
DEWEYVILLE ISD,Texas,4817010,Newton County,48351,2,2,TX-176903,534,47.85,96.61,42-Rural: Distant
DIBOLL ISD,Texas,4817040,Angelina County,48005,6,6,TX-003905,1714,139.69,297.92,33-Town: Remote
DICKINSON ISD,Texas,4817070,Galveston County,48167,18,18,TX-084901,11631,834.22,1658.98,22-Suburb: Mid-size
DILLEY ISD,Texas,4817100,Frio County,48163,3,3,TX-082902,894,74.51,171.69,41-Rural: Fringe
DIME BOX ISD,Texas,4817130,Lee County,48287,1,1,TX-144903,160,16.28,31.13,43-Rural: Remote
DIMMITT ISD,Texas,4817160,Castro County,48069,3,3,TX-035901,1182,103.90,262.76,33-Town: Remote
DIVIDE ISD,Texas,4817190,Kerr County,48265,1,1,TX-133905,22,2.79,5.14,43-Rural: Remote
DODD CITY ISD,Texas,4817280,Fannin County,48147,1,1,TX-074904,337,27.95,48.03,42-Rural: Distant
DONNA ISD,Texas,4817390,Hidalgo County,48215,24,24,TX-108902,13853,972.93,2234.23,21-Suburb: Large
DORAL ACADEMY OF TEXAS,TEXAS,4801474,Bexar County,48029,="0",1,TX-105804,†,†,†,11-City: Large
DOSS CONSOLIDATED CSD,Texas,4817400,Gillespie County,48171,1,1,TX-086024,18,2.99,5.85,43-Rural: Remote
DOUGLASS ISD,Texas,4817460,Nacogdoches County,48347,1,1,TX-174911,457,41.29,61.21,43-Rural: Remote
DR M L GARZA-GONZALEZ CHARTER SCHOOL,Texas,4800025,Nueces County,48355,1,1,TX-178801,221,16.10,35.42,11-City: Large
DRAW ACADEMY,Texas,4800263,Harris County,48201,1,1,TX-101856,707,34.01,79.82,11-City: Large
DRIPPING SPRINGS ISD,Texas,4800008,Hays County,48209,7,8,TX-105904,7283,500.85,969.12,42-Rural: Distant
DRISCOLL ISD,Texas,4817550,Nueces County,48355,1,1,TX-178905,289,25.12,50.81,42-Rural: Distant
DUBLIN ISD,Texas,4817580,Erath County,48143,3,3,TX-072902,1093,89.81,189.95,41-Rural: Fringe
DUMAS ISD,Texas,4817610,Moore County,48341,9,9,TX-171901,4170,323.88,676.17,33-Town: Remote
DUNCANVILLE ISD,Texas,4817640,Dallas County,48113,19,19,TX-057907,11748,823.68,1786.05,21-Suburb: Large
EAGLE MT-SAGINAW ISD,Texas,4817700,Tarrant County,48439,29,30,TX-220918,21245,1407.17,2662.14,11-City: Large
EAGLE PASS ISD,Texas,4817730,Maverick County,48323,24,24,TX-159901,14028,826.54,1865.69,33-Town: Remote
EANES ISD,Texas,4817760,Travis County,48453,11,12,TX-227909,7968,605.44,1084.62,21-Suburb: Large
EARLY ISD,Texas,4817790,Brown County,48049,4,4,TX-025909,1141,105.59,201.08,33-Town: Remote
EAST BERNARD ISD,Texas,4817830,Wharton County,48481,3,3,TX-241902,931,85.89,128.01,42-Rural: Distant
EAST CENTRAL ISD,Texas,4817850,Bexar County,48029,15,16,TX-015911,9770,604.85,1255.33,41-Rural: Fringe
EAST CHAMBERS ISD,Texas,4817880,Chambers County,48071,4,4,TX-036903,1509,114.87,213.72,32-Town: Distant
EAST FORT WORTH MONTESSORI ACADEMY,Texas,4800255,Tarrant County,48439,1,1,TX-220811,220,13.82,29.82,11-City: Large
EAST TEXAS CHARTER SCHOOLS,Texas,4800109,Gregg County,48183,1,1,TX-092801,138,12.43,14.67,13-City: Small
EASTLAND ISD,Texas,4817960,Eastland County,48133,3,4,TX-067903,1072,91.47,170.22,33-Town: Remote
ECTOR COUNTY ISD,Texas,4818000,Ector County,48135,44,44,TX-068901,31881,1952.95,3833.38,12-City: Mid-size
ECTOR ISD,Texas,4818030,Fannin County,48147,2,2,TX-074905,256,23.84,51.59,41-Rural: Fringe
EDCOUCH-ELSA ISD,Texas,4818060,Hidalgo County,48215,9,10,TX-108903,4538,310.33,752.64,21-Suburb: Large
EDEN CISD,Texas,4818070,Concho County,48095,3,4,TX-048901,232,18.76,39.12,43-Rural: Remote
EDGEWOOD ISD,Texas,4818120,Van Zandt County,48467,4,4,TX-234903,963,80.12,151.99,42-Rural: Distant
EDGEWOOD ISD,Texas,4818150,Bexar County,48029,23,24,TX-015905,9152,534.68,1340.83,11-City: Large
EDINBURG CISD,Texas,4818180,Hidalgo County,48215,46,46,TX-108904,32797,2244.39,4640.25,12-City: Mid-size
EDNA ISD,Texas,4818210,Jackson County,48239,4,4,TX-120901,1483,118.32,233.95,32-Town: Distant
EDUCATION CENTER INTERNATIONAL ACADEMY,Texas,4800186,Dallas County,48113,3,3,TX-057833,543,47.00,68.75,21-Suburb: Large
EHRHART SCHOOL,Texas,4800221,Jefferson County,48245,1,1,TX-123805,484,35.58,54.03,12-City: Mid-size
EL CAMPO ISD,Texas,4818280,Wharton County,48481,5,5,TX-241903,3530,233.44,501.60,32-Town: Distant
EL PASO ACADEMY,Texas,4800205,El Paso County,48141,2,2,TX-071804,322,13.92,28.01,11-City: Large
EL PASO ISD,Texas,4818300,El Paso County,48141,85,98,TX-071902,50661,3730.52,7753.47,11-City: Large
EL PASO LEADERSHIP ACADEMY,Texas,4801439,El Paso County,48141,1,1,TX-071810,210,14.00,24.80,11-City: Large
ELEANOR KOLITZ HEBREW LANGUAGE ACADEMY,Texas,4801435,Bexar County,48029,1,1,TX-015836,466,31.78,47.44,11-City: Large
ELECTRA ISD,Texas,4818330,Wichita County,48485,2,2,TX-243902,441,44.21,81.64,32-Town: Distant
ELEVATE COLLEGIATE CHARTER SCHOOL,TEXAS,4801470,Harris County,48201,="0",1,TX-101877,†,†,†,11-City: Large
ELGIN ISD,Texas,4818360,Bastrop County,48021,7,8,TX-011902,4628,297.63,674.42,31-Town: Fringe
ELKHART ISD,Texas,4818390,Anderson County,48001,4,5,TX-001903,1200,102.20,183.69,42-Rural: Distant
ELYSIAN FIELDS ISD,Texas,4818480,Harrison County,48203,3,3,TX-102906,846,73.84,144.53,42-Rural: Distant
ENNIS ISD,Texas,4818540,Ellis County,48139,10,10,TX-070903,5836,397.23,752.64,41-Rural: Fringe
ERA ISD,Texas,4818600,Cooke County,48097,1,1,TX-049906,472,36.62,63.24,42-Rural: Distant
ERATH EXCELS ACADEMY INC,Texas,4800159,Erath County,48143,2,2,TX-072802,123,9.42,16.72,41-Rural: Fringe
ETOILE ACADEMY CHARTER SCHOOL,TEXAS,4801460,Harris County,48201,1,1,TX-101872,216,13.73,22.66,11-City: Large
ETOILE ISD,Texas,4818660,Nacogdoches County,48347,1,1,TX-174910,91,12.00,29.15,43-Rural: Remote
EULA ISD,Texas,4818690,Callahan County,48059,3,3,TX-030906,454,42.13,76.77,42-Rural: Distant
EUSTACE ISD,Texas,4818720,Henderson County,48213,4,4,TX-107905,1592,123.79,279.95,42-Rural: Distant
EVADALE ISD,Texas,4818750,Jasper County,48241,3,4,TX-121906,389,38.23,75.96,42-Rural: Distant
EVANT ISD,Texas,4818780,Coryell County,48099,2,2,TX-050901,273,23.13,48.90,43-Rural: Remote
EVERMAN ISD,Texas,4818810,Tarrant County,48439,10,11,TX-220904,5648,409.17,878.09,21-Suburb: Large
EVOLUTION ACADEMY CHARTER SCHOOL,Texas,4800236,Dallas County,48113,3,3,TX-057834,667,28.59,52.09,12-City: Mid-size
EXCEL ACADEMY,Texas,4800049,Harris County,48201,4,4,TX-101811,206,28.00,56.80,11-City: Large
EXCELLENCE IN LEADERSHIP ACADEMY,Texas,4801433,Hidalgo County,48215,1,1,TX-108809,300,21.01,39.01,13-City: Small
EXCELSIOR ISD,Texas,4818840,Shelby County,48419,1,1,TX-210906,71,10.73,21.45,43-Rural: Remote
EZZELL ISD,Texas,4818890,Lavaca County,48285,1,1,TX-143906,77,8.12,15.69,43-Rural: Remote
FABENS ISD,Texas,4818900,El Paso County,48141,4,5,TX-071903,2048,150.74,336.58,31-Town: Fringe
FAIRFIELD ISD,Texas,4818940,Freestone County,48161,4,4,TX-081902,1703,139.89,279.42,33-Town: Remote
FALLS CITY ISD,Texas,4819020,Karnes County,48255,2,3,TX-128904,408,33.09,65.28,42-Rural: Distant
FANNINDEL ISD,Texas,4819050,Fannin County,48147,2,2,TX-060914,159,17.00,42.00,43-Rural: Remote
FARMERSVILLE ISD,Texas,4819080,Collin County,48085,4,5,TX-043904,1884,126.92,246.39,31-Town: Fringe
FARWELL ISD,Texas,4819110,Parmer County,48369,3,3,TX-185902,543,58.33,102.94,42-Rural: Distant
FAYETTEVILLE ISD,Texas,4819140,Fayette County,48149,1,1,TX-075906,274,22.90,42.44,43-Rural: Remote
FERRIS ISD,Texas,4819170,Ellis County,48139,5,5,TX-070905,2586,202.69,439.35,41-Rural: Fringe
FLATONIA ISD,Texas,4819280,Fayette County,48149,3,3,TX-075901,602,55.05,98.76,43-Rural: Remote
FLORENCE ISD,Texas,4819320,Williamson County,48491,3,7,TX-246902,1075,84.90,178.62,42-Rural: Distant
FLORESVILLE ISD,Texas,4819350,Wilson County,48493,6,6,TX-247901,3992,248.67,515.16,32-Town: Distant
FLOUR BLUFF ISD,Texas,4819380,Nueces County,48355,7,7,TX-178914,5553,360.66,727.47,11-City: Large
FLOYDADA ISD,Texas,4819440,Floyd County,48153,4,4,TX-077901,705,61.33,132.77,32-Town: Distant
FOLLETT ISD,Texas,4819500,Lipscomb County,48295,1,1,TX-148902,170,18.25,32.94,43-Rural: Remote
FORESTBURG ISD,Texas,4819530,Montague County,48337,1,1,TX-169910,163,22.38,36.12,43-Rural: Remote
FORNEY ISD,Texas,4819560,Kaufman County,48257,16,19,TX-129902,12765,783.51,1460.23,41-Rural: Fringe
FORSAN ISD,Texas,4819620,Howard County,48227,2,2,TX-114904,777,61.44,110.71,42-Rural: Distant
FORT BEND ISD,Texas,4819650,Fort Bend County,48157,82,87,TX-079907,76735,5054.75,10695.87,21-Suburb: Large
FORT ELLIOTT CISD,Texas,4811400,Wheeler County,48483,1,1,TX-242906,144,17.51,36.86,43-Rural: Remote
FORT STOCKTON ISD,Texas,4820190,Pecos County,48371,5,5,TX-186902,2310,182.64,379.26,33-Town: Remote
FORT WORTH ACADEMY OF FINE ARTS,Texas,4800231,Tarrant County,48439,2,2,TX-220809,635,51.37,84.91,11-City: Large
FORT WORTH ISD,Texas,4819700,Tarrant County,48439,146,150,TX-220905,76858,5488.23,10648.11,11-City: Large
FRANKLIN ISD,Texas,4819740,Robertson County,48395,3,3,TX-198903,1257,108.55,220.66,42-Rural: Distant
FRANKSTON ISD,Texas,4819770,Anderson County,48001,3,3,TX-001904,769,65.40,132.60,42-Rural: Distant
FREDERICKSBURG ISD,Texas,4819840,Gillespie County,48171,6,6,TX-086901,3101,232.22,479.06,33-Town: Remote
FREER ISD,Texas,4819820,Duval County,48131,3,3,TX-066903,783,60.29,139.01,43-Rural: Remote
FRENSHIP ISD,Texas,4819830,Lubbock County,48303,13,13,TX-152907,10353,685.98,1235.46,22-Suburb: Mid-size
FRIENDSWOOD ISD,Texas,4819950,Galveston County,48167,6,7,TX-084911,6119,384.50,781.80,21-Suburb: Large
FRIONA ISD,Texas,4819980,Parmer County,48369,4,4,TX-185903,1086,101.51,214.58,33-Town: Remote
FRISCO ISD,Texas,4820010,Collin County,48085,74,74,TX-043905,63493,4388.91,7620.06,21-Suburb: Large
FROST ISD,Texas,4820040,Navarro County,48349,3,3,TX-175905,434,36.75,68.90,42-Rural: Distant
FRUITVALE ISD,Texas,4820070,Van Zandt County,48467,3,3,TX-234909,430,34.48,83.09,42-Rural: Distant
FT DAVIS ISD,Texas,4820100,Jeff Davis County,48243,1,1,TX-122901,197,21.95,39.66,43-Rural: Remote
FT HANCOCK ISD,Texas,4820130,Hudspeth County,48229,3,3,TX-115901,409,35.16,82.10,43-Rural: Remote
FT SAM HOUSTON ISD,Texas,4820160,Bexar County,48029,2,2,TX-015914,1501,133.47,300.09,11-City: Large
GAINESVILLE ISD,Texas,4820220,Cooke County,48097,5,5,TX-049901,3057,206.60,395.56,41-Rural: Fringe
GALENA PARK ISD,Texas,4820250,Harris County,48201,24,25,TX-101910,21918,1404.40,3225.69,21-Suburb: Large
GALVESTON ISD,Texas,4820280,Galveston County,48167,12,13,TX-084902,6698,485.98,1067.14,31-Town: Fringe
GANADO ISD,Texas,4820310,Jackson County,48239,3,3,TX-120902,713,60.16,112.62,42-Rural: Distant
GARLAND ISD,Texas,4820340,Dallas County,48113,73,74,TX-057909,53921,3609.30,7223.55,21-Suburb: Large
GARNER ISD,Texas,4820370,Parker County,48367,1,1,TX-184911,216,16.27,37.17,42-Rural: Distant
GARRISON ISD,Texas,4820400,Nacogdoches County,48347,4,4,TX-174903,691,58.90,94.81,43-Rural: Remote
GARY ISD,Texas,4820460,Panola County,48365,1,1,TX-183904,472,43.09,75.22,42-Rural: Distant
GATESVILLE ISD,Texas,4820500,Coryell County,48099,5,5,TX-050902,2790,203.65,410.52,32-Town: Distant
GATEWAY CHARTER ACADEMY,Texas,4800184,Dallas County,48113,2,2,TX-057831,783,33.21,55.89,11-City: Large
GAUSE ISD,Texas,4820520,Milam County,48331,1,1,TX-166902,167,14.94,27.93,42-Rural: Distant
GEORGE GERVIN ACADEMY,Texas,4800014,Bexar County,48029,2,2,TX-015802,870,56.93,108.97,11-City: Large
GEORGE I SANCHEZ CHARTER,Texas,4800020,Harris County,48201,2,2,TX-101804,993,66.68,146.50,11-City: Large
GEORGE WEST ISD,Texas,4820550,Live Oak County,48297,5,5,TX-149901,1033,79.85,175.87,43-Rural: Remote
GEORGETOWN ISD,Texas,4820600,Williamson County,48491,21,21,TX-246904,11866,940.41,1813.86,13-City: Small
GHOLSON ISD,Texas,4820610,McLennan County,48309,1,2,TX-161925,218,19.94,38.39,42-Rural: Distant
GIDDINGS ISD,Texas,4820640,Lee County,48287,4,4,TX-144901,1914,143.20,241.20,41-Rural: Fringe
GILMER ISD,Texas,4820700,Upshur County,48459,4,4,TX-230902,2510,201.37,442.12,41-Rural: Fringe
GLADEWATER ISD,Texas,4820760,Gregg County,48183,4,4,TX-092901,1755,146.18,301.42,23-Suburb: Small
GLASSCOCK COUNTY ISD,Texas,4820790,Glasscock County,48173,2,2,TX-087901,293,34.65,70.91,43-Rural: Remote
GLEN ROSE ISD,Texas,4820850,Somervell County,48425,4,4,TX-213901,1921,144.48,273.05,42-Rural: Distant
GODLEY ISD,Texas,4820960,Johnson County,48251,7,7,TX-126911,2443,190.92,451.45,42-Rural: Distant
GOLD BURG ISD,Texas,4820970,Montague County,48337,1,1,TX-169906,133,14.83,27.91,42-Rural: Distant
GOLDEN RULE CHARTER SCHOOL,Texas,4800237,Dallas County,48113,6,6,TX-057835,1554,115.44,228.09,11-City: Large
GOLDTHWAITE ISD,Texas,4821000,Mills County,48333,3,3,TX-167901,515,59.13,124.20,43-Rural: Remote
GOLIAD ISD,Texas,4821030,Goliad County,48175,4,4,TX-088902,1271,99.64,222.96,42-Rural: Distant
GONZALES ISD,Texas,4821060,Gonzales County,48177,5,5,TX-089901,2654,182.21,412.45,32-Town: Distant
GOODRICH ISD,Texas,4821090,Polk County,48373,3,3,TX-187903,254,19.40,49.79,42-Rural: Distant
GOODWATER MONTESSORI SCHOOL,TEXAS,4801458,Williamson County,48491,1,1,TX-246802,342,17.16,41.17,13-City: Small
GOOSE CREEK CISD,Texas,4821150,Harris County,48201,29,31,TX-101911,23318,1604.14,3525.99,13-City: Small
GORDON ISD,Texas,4821180,Palo Pinto County,48363,1,1,TX-182901,220,18.65,33.51,43-Rural: Remote
GORMAN ISD,Texas,4821270,Eastland County,48133,3,3,TX-067904,276,30.43,80.04,43-Rural: Remote
GRADY ISD,Texas,4821300,Martin County,48317,1,1,TX-156905,226,20.71,41.77,42-Rural: Distant
GRAFORD ISD,Texas,4821330,Palo Pinto County,48363,1,1,TX-182902,316,32.00,56.79,43-Rural: Remote
GRAHAM ISD,Texas,4821360,Young County,48503,4,4,TX-252901,2279,166.49,333.49,33-Town: Remote
GRANBURY ISD,Texas,4821390,Hood County,48221,10,10,TX-111901,7469,507.85,968.43,32-Town: Distant
GRAND PRAIRIE ISD,Texas,4821420,Dallas County,48113,41,41,TX-057910,28230,1858.38,3701.97,21-Suburb: Large
GRAND SALINE ISD,Texas,4821450,Van Zandt County,48467,5,6,TX-234904,1115,81.52,177.95,32-Town: Distant
GRANDFALLS-ROYALTY ISD,Texas,4821480,Ward County,48475,1,1,TX-238904,166,17.90,34.79,43-Rural: Remote
GRANDVIEW ISD,Texas,4821540,Johnson County,48251,3,4,TX-126904,1342,101.17,168.10,42-Rural: Distant
GRANDVIEW-HOPKINS ISD,Texas,4821560,Gray County,48179,1,1,TX-090905,38,5.56,12.45,43-Rural: Remote
GRANGER ISD,Texas,4821590,Williamson County,48491,1,3,TX-246905,449,38.12,73.90,42-Rural: Distant
GRAPE CREEK ISD,Texas,4821600,Tom Green County,48451,6,6,TX-226907,1099,95.64,171.57,41-Rural: Fringe
GRAPELAND ISD,Texas,4821630,Houston County,48225,3,3,TX-113902,605,47.96,102.11,43-Rural: Remote
GRAPEVINE-COLLEYVILLE ISD,Texas,4821660,Tarrant County,48439,21,21,TX-220906,13935,1003.20,1919.31,13-City: Small
GREAT HEARTS TEXAS,Texas,4801441,Bexar County,48029,9,9,TX-015835,6642,326.13,638.01,11-City: Large
GREENVILLE ISD,Texas,4821720,Hunt County,48231,11,12,TX-116905,5277,364.20,702.58,32-Town: Distant
GREENWOOD ISD,Texas,4821750,Midland County,48329,4,4,TX-165902,2845,203.61,355.90,42-Rural: Distant
GREGORY-PORTLAND ISD,Texas,4821780,San Patricio County,48409,6,6,TX-205902,4720,325.58,632.31,21-Suburb: Large
GROESBECK ISD,Texas,4821810,Limestone County,48293,4,4,TX-147902,1522,119.70,261.56,41-Rural: Fringe
GROOM ISD,Texas,4821840,Carson County,48065,1,1,TX-033901,137,18.64,32.89,43-Rural: Remote
GROVETON ISD,Texas,4821900,Trinity County,48455,2,2,TX-228901,762,66.35,141.42,43-Rural: Remote
GRUVER ISD,Texas,4821930,Hansford County,48195,3,3,TX-098901,439,46.49,88.51,43-Rural: Remote
GUNTER ISD,Texas,4821960,Grayson County,48181,4,4,TX-091917,1024,98.49,256.51,42-Rural: Distant
GUSTINE ISD,Texas,4821990,Comanche County,48093,1,1,TX-047903,150,18.51,38.90,43-Rural: Remote
GUTHRIE CSD,Texas,4822020,King County,48269,1,1,TX-135001,127,18.98,31.60,43-Rural: Remote
HALE CENTER ISD,Texas,4822050,Hale County,48189,3,4,TX-095903,618,53.73,106.43,42-Rural: Distant
HALLETTSVILLE ISD,Texas,4822120,Lavaca County,48285,4,4,TX-143901,1116,82.58,167.37,43-Rural: Remote
HALLSBURG ISD,Texas,4822140,McLennan County,48309,1,2,TX-161924,164,11.97,22.72,42-Rural: Distant
HALLSVILLE ISD,Texas,4822170,Harrison County,48203,8,9,TX-102904,15267,375.99,736.08,31-Town: Fringe
HAMILTON ISD,Texas,4822230,Hamilton County,48193,3,3,TX-097902,792,78.02,133.56,33-Town: Remote
HAMLIN COLLEGIATE ISD,Texas,4822260,Jones County,48253,2,2,TX-127903,443,32.38,70.84,43-Rural: Remote
HAMSHIRE-FANNETT ISD,Texas,4822320,Jefferson County,48245,4,5,TX-123914,1897,140.28,249.15,42-Rural: Distant
