Table 1
"Report 2: School Reported COVID-19 Cases in Public Schools, July 27, 2020 - January 10, 2021, Texas",,,,,,,,,,,,,,,,,
"Current Report Period: January 4, 2021 - January 10, 2021",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,Current Report Period,,,,,Cumulative Reports,,,,
,,,,,,,,,,"School Reported Source
of Infection",,,,,"School Reported Source
of Infection",,
District Name,"District
LEA
Number","Total District
Enrollment as
of October 30,
2020","Approximate
District On Campus
Enrollment as of
October 30, 2020",Campus Name,"Campus
ID","Total School
Enrollment as
of October
30, 2020","On-Campus
Enrollment for
School as of
October 30, 2020","New
Student
Cases","New
Staff
Cases","On
LUFKIN ISD,'003903,7467,6179,ANDERSON EL,'003903120,226,200,*,0,*,*,*,*,3,*,*,*
LUFKIN ISD,'003903,7467,6179,COSTON EL,'003903123,209,175,*,2,*,*,*,*,6,*,*,*
LUFKIN ISD,'003903,7467,6179,KURTH PRI,'003903128,264,235,0,3,0,1,2,*,4,*,*,*
LUFKIN ISD,'003903,7467,6179,HERTY PRI,'003903127,253,228,7,1,2,5,1,*,4,*,*,*
LUFKIN ISD,'003903,7467,6179,SPECIAL SERVICES,'003903141,6,6,,,,,,0,2,0,0,2
LUFKIN ISD,'003903,7467,6179,GARRETT PRI,'003903125,253,214,*,1,*,*,*,5,1,0,6,0
LUFKIN ISD,'003903,7467,6179,SLACK EL,'003903129,508,458,*,0,*,*,*,5,6,0,3,8
LUFKIN ISD,'003903,7467,6179,DUNBAR PRI,'003903124,404,349,*,1,*,*,*,6,3,1,4,4
LUFKIN ISD,'003903,7467,6179,TROUT PRI,'003903130,267,223,*,1,*,*,*,7,6,0,11,2
LUFKIN ISD,'003903,7467,6179,BURLEY PRI,'003903131,412,371,*,5,*,*,*,8,8,0,9,7
LUFKIN ISD,'003903,7467,6179,BRANDON EL,'003903121,382,284,,,,,,9,1,0,5,5
LUFKIN ISD,'003903,7467,6179,,"Multiple
Campus",NR,NR,0,14,0,12,2,11,32,2,18,23
LUFKIN ISD,'003903,7467,6179,LUFKIN MIDDLE,'003903044,1690,1310,14,11,0,16,9,53,24,1,37,39
LUFKIN ISD,'003903,7467,6179,LUFKIN H S,'003903001,2148,1737,23,3,0,22,4,77,22,1,41,57
LUFKIN ISD TOTAL,'003903,7467,6179,,,7467,6179,59,44,2,77,24,205,127,7,159,166
HUNTINGTON ISD,'003904,1573,1556,HUNTINGTON MIDDLE,'003904041,394,389,,,,,,*,4,*,*,*
HUNTINGTON ISD,'003904,1573,1556,HUNTINGTON INT,'003904102,226,226,,,,,,*,4,*,*,*
HUNTINGTON ISD,'003904,1573,1556,PRIDE ALTER SCH,'003904005,8,8,,,,,,0,1,0,1,0
HUNTINGTON ISD,'003904,1573,1556,HUNTINGTON EL,'003904101,476,474,,,,,,0,2,0,2,0
HUNTINGTON ISD,'003904,1573,1556,,"Multiple
Campus",NR,NR,,,,,,1,4,0,5,0
HUNTINGTON ISD,'003904,1573,1556,HUNTINGTON H S,'003904001,469,459,,,,,,6,2,0,6,2
HUNTINGTON ISD TOTAL,'003904,1573,1556,,,1573,1556,,,,,,*,17,*,*,*
DIBOLL ISD,'003905,1675,1524,STUBBLEFIELD LRN CTR,'003905004,3,2,,,,,,,,,,
DIBOLL ISD,'003905,1675,1524,H G TEMPLE EL,'003905101,341,311,,,,,,*,4,*,*,*
DIBOLL ISD,'003905,1675,1524,DIBOLL PRI,'003905102,117,108,,,,,,*,1,*,*,*
DIBOLL ISD,'003905,1675,1524,H G TEMPLE INT,'003905103,315,299,,,,,,*,4,*,*,*
