Table 1
"Report 2: School Reported COVID-19 Cases in Public Schools, July 27, 2020 - October 25, 2020, Texas",,,,,,,,,,,,,,,,,
"Current Report Period: October 19, 2020 - October 25, 2020",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,Current Report Period,,,,,,,Cumulative Reports,,,,,,
,,,,,,,,"School Reported Source
of Infection",,,,,,,"School Reported Source
BIG SANDY ISD,'230901,666,8,,,,,,,,*,*,*,*,*,*,*
BIG SPRING ISD,'114901,3909,3028,0,1,5,1,0,0,7,5,2,37,38,3,7,72
"BIG SPRINGS CHARTER
SCHOOL",'193801,213,182,,,,,,,,0,0,0,3,1,1,1
BIRDVILLE ISD,'220902,22174,12571,3,4,13,2,0,0,22,15,25,85,7,0,0,132
BISHOP CISD,'178902,1556,492,,,,,,,,0,0,2,5,0,0,7
BLACKWELL CISD,'177903,161,157,,,,,,,,1,0,2,2,0,1,4
BLANCO ISD,'016902,1028,917,,,,,,,,0,0,0,1,0,1,0
BLAND ISD,'116915,819,645,0,0,1,1,0,0,2,2,0,5,1,0,6,2
BLANKET ISD,'025904,173,146,,,,,,,,0,0,0,1,0,0,1
"BLOOM ACADEMY CHARTER
SCHOOL",'101875,86,9,,,,,,,,,,,,,,
BLOOMBURG ISD,'034909,251,251,,,,,,,,0,1,3,3,0,6,1
BLOOMING GROVE ISD,'175902,942,805,0,0,1,0,0,1,0,1,1,2,2,0,5,1
BLOOMINGTON ISD,'235901,767,458,,,,,,,,2,1,2,2,0,3,4
BLUE RIDGE ISD,'043917,896,812,1,0,2,1,0,0,4,3,0,5,9,0,2,15
BLUFF DALE ISD,'072904,220,210,,,,,,,,,,,,,,
BLUM ISD,'109913,358,352,,,,,,,,1,0,2,1,3,0,1
BOB HOPE SCHOOL,'123807,2074,557,,,,,,,,,,,,,,
BOERNE ISD,'130901,9511,6938,0,0,2,1,0,0,3,2,1,29,16,1,21,26
BOLES ISD,'116916,513,452,0,0,2,1,0,0,3,0,0,6,9,5,3,7
BOLING ISD,'241901,1105,932,0,0,1,0,0,1,0,0,0,4,1,0,5,0
BONHAM ISD,'074903,1781,1551,,,,,,,,3,3,9,0,0,15,0
BOOKER ISD,'148901,362,354,0,0,0,1,1,0,0,1,0,7,1,2,3,4
BORDEN COUNTY ISD,'017901,231,231,,,,,,,,,,,,,,
BORGER ISD,'117901,2470,2130,1,1,8,3,0,0,13,5,3,37,49,14,15,65
BOSQUEVILLE ISD,'161923,734,586,,,,,,,,0,1,1,0,0,1,1
BOVINA ISD,'185901,468,419,,,,,,,,0,0,4,3,0,4,3
BOWIE ISD,'169901,1676,1564,0,2,1,3,0,0,6,0,2,11,14,0,1,26
BOYD ISD,'249902,1268,1132,,,,,,,,0,1,9,4,0,0,14
BOYS RANCH ISD,'180901,223,153,,,,,,,,0,0,11,5,1,11,4
BRACKETT ISD,'136901,529,411,0,1,0,0,0,0,1,0,1,0,1,0,1,1
BRADY ISD,'160901,991,910,0,0,2,0,0,2,0,0,1,6,9,1,14,1
BRAZOS ISD,'008903,781,690,0,0,0,1,0,0,1,0,0,0,1,0,0,1
"BRAZOS RIVER CHARTER
SCHOOL",'213801,180,178,,,,,,,,0,0,2,1,0,2,1
"BRAZOS SCHOOL FOR INQUIRY
& CREATIVITY",'021803,341,251,,,,,,,,0,0,0,1,0,0,1
BRAZOSPORT ISD,'020905,11397,6978,0,0,3,2,0,5,0,14,5,22,15,0,56,0
BRECKENRIDGE ISD,'215901,1448,1293,0,0,2,3,0,5,0,1,1,12,12,0,16,10
BREMOND ISD,'198901,473,449,,,,,,,,1,2,10,2,3,9,3
BRENHAM ISD,'239901,4918,3998,1,1,0,1,0,0,3,1,3,1,5,0,2,8
BRIDGE CITY ISD,'181901,3014,2715,,,,,,,,0,0,6,3,0,9,0
