Table 1
"Report 2: School Reported COVID-19 Cases in Public Schools, July 27, 2020 - September 20, 2020, Texas",,,,,,,,,,,,,,,
"Current Week:September 14, 2020-September 20, 2020",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Current Week,,,,,,,Cumulative Reports,,,,,,
,,,,,,"School Reported Source of
Infection",,,,,,,"School Reported Source of
Infection",,
District Name,Total District Enrollment First Week of School,"New Student
Cases Grades
EE-3","New Student
Cases Grades
4-6","New Student
Cases Grades
7-12","New
Staff
Cases","On
Campus","Off
Campus",Unknown,"Total Student
Cases Grades
EE-3","Total Student
Cases Grades
4-6","Total Student
Cases Grades
7-12","Total
Staff
Cases","On
Campus","Off
UT TYLER UNIVERSITY ACADEMY,844,0,0,1,0,0,0,2,0,0,1,0,0,0,2
UTOPIA ISD,220,,,,,,,,,,,,,,
UTPB STEM ACADEMY,812,,,,,,,,,,,,,,
UVALDE CISD,4070,,,,,,,,0,1,8,3,0,2,10
VALENTINE ISD,NR,,,,,,,,,,,,,,
VALLEY MILLS ISD,621,,,,,,,,,,,,,,
Valley View (LEA: 049903),885,,,,,,,,,,,,,,
VALLEY VIEW ISD (LEA: 108916),4053,0,0,0,2,0,1,1,0,0,1,17,0,17,1
VALOR PUBLIC SCHOOLS,1080,,,,,,,,,,,,,,
VAN ALSTYNE ISD,1885,0,0,2,1,0,3,0,0,0,5,2,1,6,0
VAN ISD,NR,0,0,0,1,0,0,1,0,0,1,2,0,0,3
VAN VLECK ISD,1038,0,0,0,2,0,0,2,0,0,0,4,0,0,5
VANGUARD ACADEMY,4885,,,,,,,,,,,,,,
VEGA ISD,362,,,,,,,,,,,,,,
VENUS ISD,2160,0,0,0,2,0,1,1,0,0,0,4,0,1,3
VERIBEST ISD,257,,,,,,,,,,,,,,
VERNON ISD,1853,0,0,0,1,0,1,0,1,4,2,1,0,8,0
VICTORIA ISD,12884,0,0,0,1,0,1,0,0,2,1,3,0,4,2
VIDOR ISD,4134,0,0,3,1,0,4,0,0,1,7,5,0,13,0
VILLAGE TECH SCHOOLS,1239,,,,,,,,,,,,,,
VISTA DEL FUTURO CHARTER SCHOOL,251,,,,,,,,,,,,,,
VYSEHRAD ISD,108,,,,,,,,,,,,,,
WACO CHARTER SCHOOL,212,,,,,,,,,,,,,,
WACO ISD,14343,2,1,3,3,0,0,9,2,1,3,6,0,0,12
WAELDER ISD,274,,,,,,,,,,,,,,
WALCOTT ISD,143,,,,,,,,,,,,,,
WALL ISD,620,,,,,,,,1,0,1,0,0,0,2
WALLER ISD,7660,1,0,1,0,0,1,1,1,0,3,16,0,15,5
WALNUT BEND ISD,58,,,,,,,,,,,,,,
WALNUT SPRINGS ISD,171,,,,,,,,0,0,1,0,0,1,0
WARREN ISD,1252,,,,,,,,0,0,2,20,0,0,21
WASKOM ISD,813,0,0,0,2,0,2,0,0,0,0,2,0,2,0
WATER VALLEY ISD,312,,,,,,,,0,2,1,1,0,0,4
WAXAHACHIE FAITH FAMILY ACADEMY,2665,,,,,,,,,,,,,,
WAXAHACHIE ISD,9612,0,0,1,0,0,1,0,3,1,8,4,0,13,3
WAYSIDE SCHOOLS,1809,,,,,,,,,,,,,,
WEATHERFORD ISD,7937,0,1,3,3,0,7,0,2,1,10,8,0,19,2
WEBB CISD,273,,,,,,,,,,,,,,
WEIMAR ISD,653,0,0,1,0,0,0,1,2,1,1,0,0,3,1
WELLINGTON ISD,532,,,,,,,,,,,,,,
WELLMAN-UNION CISD,293,,,,,,,,,,,,,,
WELLS ISD,259,,,,,,,,0,0,0,1,0,1,0
WESLACO ISD,16494,0,0,0,1,0,1,0,0,0,0,5,0,4,1
WEST HARDIN COUNTY CISD,521,,,,,,,,,,,,,,
WEST ISD,1261,,,,,,,,0,0,1,0,0,1,0
WEST ORANGE-COVE CISD,2428,0,1,0,1,0,2,0,1,1,0,2,0,4,0
WEST OSO ISD,1875,,,,,,,,0,0,0,2,0,2,0
WEST RUSK COUNTY CONSOLIDATED ISD,1019,0,0,2,0,0,2,0,0,0,4,0,0,4,0
WEST SABINE ISD,547,,,,,,,,,,,,,,
WESTBROOK ISD,225,,,,,,,,,,,,,,
WESTHOFF ISD,65,,,,,,,,,,,,,,
WESTLAKE ACADEMY CHARTER SCHOOL,885,,,,,,,,,,,,,,
WESTPHALIA ISD,159,,,,,,,,,,,,,,
WESTWOOD ISD,NR,0,0,3,2,0,3,2,0,0,5,3,1,4,3
WHARTON ISD,NR,,,,,,,,0,0,0,12,7,4,1
WHEELER ISD,426,0,0,0,1,0,0,1,0,0,1,1,0,0,2
WHITE DEER ISD,372,,,,,,,,,,,,,,
WHITE OAK ISD,767,0,0,2,1,0,2,1,2,2,20,13,0,4,33
WHITE SETTLEMENT ISD,6446,0,0,1,0,0,0,1,0,0,2,0,0,0,2
WHITEFACE CISD,339,,,,,,,,,,,,,,
WHITEHOUSE ISD,NR,0,0,1,2,0,1,2,6,8,5,12,0,7,24
WHITESBORO ISD,446,,,,,,,,,,,,,,
WHITEWRIGHT ISD,752,0,0,1,2,0,0,3,0,0,4,2,0,3,3
WHITHARRAL ISD,162,,,,,,,,,,,,,,
WHITNEY ISD,1475,0,0,3,0,0,2,1,1,1,6,0,0,6,2
WICHITA FALLS ISD,13155,0,2,2,1,0,6,0,6,5,10,9,1,30,0
WILDORADO ISD,220,,,,,,,,,,,,,,
WILLIS ISD,7633,0,0,0,2,0,0,2,2,0,5,20,0,1,26
WILLS POINT ISD,455,0,0,1,0,0,0,1,0,0,1,0,0,0,1
WILSON ISD,NR,,,,,,,,,,,,,,
WIMBERLEY ISD,2541,0,0,0,2,0,0,2,0,1,2,4,0,1,6
WINDHAM SCHOOL DISTRICT,NR,,,,,,,,,,,,,,
WINDTHORST ISD,433,0,0,1,2,0,0,3,0,2,6,9,3,1,13
WINFREE ACADEMY CHARTER SCHOOLS,1097,,,,,,,,,,,,,,
WINK-LOVING ISD,385,,,,,,,,,,,,,,
WINNSBORO ISD,1480,0,0,1,1,0,0,2,1,3,6,2,0,3,9
WINONA ISD,986,,,,,,,,0,0,1,0,0,1,0
WINTERS ISD,546,1,0,0,0,0,1,0,3,0,0,0,0,3,0
WODEN ISD,546,0,0,0,1,0,0,1,0,0,0,2,0,1,1
WOLFE CITY ISD,639,,,,,,,,0,0,1,7,2,1,5
WOODSBORO ISD,423,,,,,,,,,,,,,,
WOODSON ISD,158,,,,,,,,,,,,,,
WOODVILLE ISD,1210,0,1,2,0,0,3,0,1,1,12,16,11,19,0
WORTHAM ISD,143,,,,,,,,0,0,0,1,0,0,1
WYLIE ISD (LEA: 221912),4845,,,,,,,,,,,,,,
WYLIE ISD (LEA: 043914),16998,0,2,3,5,0,2,8,4,5,20,18,2,27,18
YANTIS ISD,NR,,,,,,,,0,1,0,1,0,2,0
YELLOWSTONE COLLEGE PREPARATORY,237,,,,,,,,,,,,,,
YES PREP PUBLIC SCHOOLS INC,966,,,,,,,,0,0,0,17,0,17,0
YOAKUM ISD,1137,0,0,4,1,0,4,1,1,0,14,7,0,20,2
YORKTOWN ISD,522,0,0,0,1,0,1,0,0,0,0,1,0,1,0
YSLETA ISD,38040,0,0,0,1,0,1,0,0,0,1,13,0,10,4
ZAPATA COUNTY ISD,3474,,,,,,,,,,,,,,
ZAVALLA ISD,308,,,,,,,,0,1,0,1,0,2,0
ZEPHYR ISD,195,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"* indicates cell has been suppressed, a blank cell indicates no report has been received for a given district in the indicated time period, a 0 indicates that a report was received and no cases were reported for that group in the reported time period. ",,,,,,,,,,,,,,,
"Abbreviations: EE= ""Early Education"",  ISD=""Independent School District"", CISD= ""Consolidated Independent School District"", INC= ""Incorperated"", LEA= ""Local Education Authority"" , NR= ""No Enrollment Report Received""",,,,,,,,,,,,,,,
"Data Notes:  This set of reports provides an overview of COVID-19 cases in public schools in Texas. Cases in this report are defined as any staff member or student who participates in any on-campus activity that is test-confirmed COVID-19 of which a public school is notified. Updates for the previous Monday-Sunday are provided weekly by 5 pm CDT on Wednesdays. School calendars are set by the local education agency therefore the date of the first week of school varies by organization. Based on Local Education Agency (LEA) reports, the first day of school ranged from 7/27/20 to 9/16/20. Because data is self-reported by schools, local or publicly available information may be more up to date. Private schools are not included in this report. To protect individual privacy, case counts will be suppressed for any school district that has fewer than 50 students enrolled. Suppressed cases will be included in the statewide total. All data are provisional and subject to change. Corrections may lead to data being updated with more accurate or complete information.  

Data Sources: Case data is self-reported to DSHS local and regional health departments by individual public schools.

",,,,,,,,,,,,,,,
