Table 1
"Report 2: School Reported COVID-19 Cases in Public Schools, July 27, 2020 -  November 17, 2020, Texas",,,,,,,,,,,,,,,,,
"Current Report Period:  November 9, 2020-  November 15, 2020",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,Current Report Period,,,,,,,Cumulative Reports,,,,,,
,,,,,,,,"School Reported Source
of Infection",,,,,,,"School Reported Source
CARROLL ISD,'220919,8328,5130,4,6,10,11,3,5,23,7,7,31,17,3,12,47
"CARROLLTON-FARMERS
BRANCH ISD",'057903,24848,12774,2,11,29,26,0,2,66,36,42,105,113,3,10,283
CARTHAGE ISD,'183902,2653,2417,0,0,0,2,0,1,1,3,1,26,19,3,9,37
CASTLEBERRY ISD,'220917,3633,1829,2,0,7,6,1,14,0,4,4,41,26,8,66,1
CAYUGA ISD,'001902,535,489,0,0,4,7,4,1,6,6,1,19,17,6,21,16
CEDAR HILL ISD,'057904,7273,3700,,,,,,,,6,11,19,15,2,26,23
"CEDARS INTERNATIONAL
ACADEMY",'227817,497,0,,,,,,,,*,*,*,*,*,*,*
CELESTE ISD,'116902,494,479,,,,,,,,0,0,1,1,0,2,0
CELINA ISD,'043903,2959,2537,,,,,,,,4,14,58,24,2,58,40
CENTER ISD,'210901,2492,2488,0,2,3,6,0,0,11,3,5,29,23,0,7,53
CENTER POINT ISD,'133901,534,439,,,,,,,,0,0,8,1,0,0,9
CENTERVILLE ISD,'145902,640,612,,,,,,,,0,0,3,1,0,4,0
CENTERVILLE ISD,'228904,139,136,,,,,,,,,,,,,,
CENTRAL HEIGHTS ISD,'174908,1119,1059,1,0,1,1,0,1,2,2,2,2,6,0,4,8
CENTRAL ISD,'003907,1443,1322,,,,,,,,2,0,2,5,0,9,0
CHANNELVIEW ISD,'101905,9292,4859,0,2,0,5,0,7,0,2,4,10,22,6,30,2
CHANNING ISD,'103901,168,164,,,,,,,,,,,,,,
CHAPARRAL STAR ACADEMY,'227814,367,97,0,0,0,1,0,1,0,0,0,0,1,0,1,0
CHAPEL HILL ACADEMY,'220815,763,382,0,0,0,1,0,1,0,0,0,0,4,0,1,3
CHAPEL HILL ISD,'212909,3428,2609,0,0,8,2,0,0,10,5,11,40,24,0,6,74
CHAPEL HILL ISD,'225906,993,849,0,0,3,1,1,0,3,2,0,12,4,4,4,10
CHARLOTTE ISD,'007901,412,350,0,0,5,0,1,4,0,0,0,5,0,1,4,0
CHEROKEE ISD,'206903,131,113,,,,,,,,,,,,,,
CHESTER ISD,'229906,211,210,,,,,,,,,,,,,,
CHICO ISD,'249904,585,517,3,3,14,5,1,14,10,6,3,18,6,2,21,10
CHILDRESS ISD,'038901,997,953,,,,,,,,1,2,7,2,0,12,0
CHILLICOTHE ISD,'099902,207,206,,,,,,,,3,1,4,2,0,5,5
CHILTON ISD,'073901,523,482,0,0,0,1,0,1,0,2,1,15,10,2,15,11
