District #,CARES ESSER I 20,CRRSA ESSER II 21,ARP ESSER III 21,ESSER-SUPP 22,ESSER-SUPP 23
152909,164926.0,606411.0,1362353.0,0.0,0.0
242902,77075.0,344822.0,774672.0,0.0,0.0
108911,2037459.0,9292038.0,20875340.0,0.0,0.0
210903,170274.0,817542.0,1836676.0,0.0,0.0
101924,1546647.0,6780224.0,15232340.0,0.0,0.0
204904,569225.0,2104402.0,4727714.0,0.0,0.0
91906,1441000.0,5943470.0,13352501.0,0.0,0.0
143903,59123.0,269675.0,605847.0,0.0,0.0
47905,25571.0,113957.0,256014.0,0.0,0.0
115902,30330.0,109236.0,245408.0,0.0,0.0
100904,531693.0,2449434.0,5502859.0,0.0,0.0
23902,31972.0,136675.0,307052.0,0.0,0.0
19909,180025.0,676486.0,1519782.0,0.0,0.0
205906,418023.0,2299902.0,5166921.0,0.0,0.0
49909,9614.0,61915.0,139098.0,0.0,0.0
13905,134580.0,635698.0,1428149.0,0.0,0.0
152903,354221.0,1753776.0,3940003.0,0.0,0.0
249908,29218.0,127617.0,286702.0,15988.0,15987.0
1909,62388.0,286208.0,642990.0,0.0,0.0
11904,260635.0,1083070.0,2433207.0,0.0,0.0
110906,88050.0,316972.0,712104.0,0.0,0.0
26903,76908.0,329900.0,741147.0,0.0,0.0
208902,487679.0,2207667.0,4959707.0,0.0,0.0
71909,10153294.0,44186634.0,99268963.0,0.0,0.0
15909,1000230.0,4467853.0,10037404.0,0.0,0.0
26902,154151.0,648405.0,1456696.0,0.0,0.0
218901,125674.0,560063.0,1258228.0,0.0,0.0
15908,2762719.0,12788784.0,28731070.0,0.0,0.0
31916,1008645.0,4687337.0,10530494.0,0.0,0.0
85903,37671.0,152847.0,343384.0,0.0,0.0
15917,1402783.0,6490608.0,14581693.0,0.0,0.0
15912,3377263.0,14664502.0,32945029.0,0.0,0.0
15807,277430.0,1290585.0,2899408.0,0.0,0.0
101838,697507.0,3277615.0,7363436.0,0.0,0.0
98904,121912.0,542938.0,1219756.0,0.0,0.0
170907,556359.0,2106690.0,4732856.0,0.0,0.0
101920,8616398.0,38295507.0,86034054.0,0.0,0.0
92907,270615.0,1083822.0,2434896.0,0.0,0.0
101919,9725329.0,45216770.0,101583250.0,0.0,0.0
140907,56323.0,204060.0,458439.0,0.0,0.0
184902,394901.0,1679664.0,3773506.0,0.0,0.0
63903,58921.0,235476.0,529017.0,0.0,0.0
229905,66075.0,318830.0,716278.0,0.0,0.0
57836,109621.0,445000.0,999729.0,0.0,0.0
13801,168949.0,608202.0,1366376.0,0.0,0.0
79910,443828.0,1920343.0,4314210.0,0.0,0.0
127906,180926.0,661754.0,1486686.0,0.0,0.0
156902,118944.0,572707.0,1286633.0,0.0,0.0
101859,198256.0,957111.0,2150229.0,0.0,0.0
72903,529619.0,2404319.0,5401504.0,0.0,0.0
216901,41408.0,179511.0,403288.0,0.0,0.0
247906,196115.0,823623.0,1850338.0,0.0,0.0
211902,74746.0,281994.0,633524.0,0.0,0.0
182905,32774.0,143856.0,323184.0,0.0,0.0
140908,95616.0,387425.0,870382.0,0.0,0.0
112910,30544.0,138991.0,312254.0,0.0,0.0
112901,918927.0,3555269.0,7987209.0,0.0,0.0
110907,51415.0,289102.0,649491.0,0.0,0.0
57919,75868.0,152025.0,341538.0,507222.0,507221.0
171902,54979.0,225545.0,506707.0,0.0,0.0
20906,365615.0,1695342.0,3808727.0,0.0,0.0
177902,573235.0,2284474.0,5132263.0,0.0,0.0
205907,320525.0,1285350.0,2887645.0,0.0,0.0
153904,136888.0,636089.0,1429027.0,0.0,0.0
146907,378716.0,1796872.0,4036824.0,0.0,0.0
201910,211244.0,994290.0,2233755.0,0.0,0.0
246911,493249.0,2068896.0,4647948.0,0.0,0.0
81904,229911.0,1078786.0,2423584.0,0.0,0.0
123803,151.0,58828.0,132163.0,0.0,0.0
14909,2941009.0,11423412.0,25663648.0,0.0,0.0
210904,155479.0,634241.0,1424876.0,0.0,0.0
22004,84368.0,312929.0,703021.0,0.0,0.0
222901,32266.0,116694.0,262162.0,0.0,0.0
129906,1031616.0,4225774.0,9493554.0,0.0,0.0
57804,1355935.0,5657419.0,12709863.0,0.0,0.0
19907,2149686.0,9188881.0,20643587.0,0.0,0.0
84906,2445335.0,9982966.0,22427567.0,0.0,0.0
221801,1813627.0,7358955.0,16532508.0,0.0,0.0
227805,89212.0,409812.0,920676.0,0.0,0.0
226801,484531.0,2337565.0,5251536.0,0.0,0.0
105802,64644.0,232716.0,522816.0,0.0,0.0
227905,16040.0,4685.0,10524.0,121978.0,121977.0
227906,68506.0,287865.0,646713.0,205476.0,205475.0
170801,208156.0,952149.0,2139081.0,0.0,0.0
56902,29492.0,153365.0,344548.0,0.0,0.0
15841,82772.0,635528.0,1427766.0,0.0,0.0
101864,103132.0,424875.0,954516.0,0.0,0.0
101868,188416.0,933828.0,2097922.0,0.0,0.0
101861,241362.0,1075452.0,2416092.0,0.0,0.0
101814,619392.0,2849165.0,6400887.0,0.0,0.0
166905,67681.0,295574.0,664031.0,0.0,0.0
246912,41467.0,205761.0,462260.0,28228.0,28228.0
149902,96442.0,457075.0,1026858.0,0.0,0.0
72901,24723.0,135539.0,304500.0,0.0,0.0
