Variable,Format_Type,Description
r_ecoy_mastrgl_rm,Numeric,% Masters Grade Level Performance -- Reading -- Econ Disadv Students Codes: 1 2 9
r_ecoy_meetsgl_rm,Numeric,% Meets Grade Level Performance -- Reading -- Econ Disadv Students Codes: 1 2 9
r_ecoy_rs,Numeric,Average Scale Score -- Reading -- Econ Disadv Students Codes: 1 2 9
r_ecoy_unsatgl_rm,Numeric,% Did Not Meet Grade Level Performance -- Reading -- Econ Disadv Students Codes: 1 2 9
r_eth2_approgl_rm,Numeric,% Approaches Grade Level Performance -- Reading -- Two or More Races Students
r_eth2_mastrgl_rm,Numeric,% Masters Grade Level Performance -- Reading -- Two or More Races Students
r_eth2_meetsgl_rm,Numeric,% Meets Grade Level Performance -- Reading -- Two or More Races Students
r_eth2_rs,Numeric,Average Scale Score -- Reading -- Two or More Races Students
r_eth2_unsatgl_rm,Numeric,% Did Not Meet Grade Level Performance -- Reading -- Two or More Races Students
r_etha_approgl_rm,Numeric,% Approaches Grade Level Performance -- Reading -- Asian Students
r_etha_mastrgl_rm,Numeric,% Masters Grade Level Performance -- Reading -- Asian Students
r_etha_meetsgl_rm,Numeric,% Meets Grade Level Performance -- Reading -- Asian Students
r_etha_rs,Numeric,Average Scale Score -- Reading -- Asian Students
r_etha_unsatgl_rm,Numeric,% Did Not Meet Grade Level Performance -- Reading -- Asian Students
r_ethb_approgl_rm,Numeric,% Approaches Grade Level Performance -- Reading -- Black or African American Students
r_ethb_mastrgl_rm,Numeric,% Masters Grade Level Performance -- Reading -- Black or African American Students
r_ethb_meetsgl_rm,Numeric,% Meets Grade Level Performance -- Reading -- Black or African American Students
r_ethb_rs,Numeric,Average Scale Score -- Reading -- Black or African American Students
r_ethb_unsatgl_rm,Numeric,% Did Not Meet Grade Level Performance -- Reading -- Black or African American Students
r_ethh_approgl_rm,Numeric,% Approaches Grade Level Performance -- Reading -- Hispanic/Latino Students
r_ethh_mastrgl_rm,Numeric,% Masters Grade Level Performance -- Reading -- Hispanic/Latino Students
r_ethh_meetsgl_rm,Numeric,% Meets Grade Level Performance -- Reading -- Hispanic/Latino Students
r_ethh_rs,Numeric,Average Scale Score -- Reading -- Hispanic/Latino Students
r_ethh_unsatgl_rm,Numeric,% Did Not Meet Grade Level Performance -- Reading -- Hispanic/Latino Students
r_ethi_approgl_rm,Numeric,% Approaches Grade Level Performance -- Reading -- American Indian or Alaska Native Students
r_ethi_mastrgl_rm,Numeric,% Masters Grade Level Performance -- Reading -- American Indian or Alaska Native Students
r_ethi_meetsgl_rm,Numeric,% Meets Grade Level Performance -- Reading -- American Indian or Alaska Native Students
r_ethi_rs,Numeric,Average Scale Score -- Reading -- American Indian or Alaska Native Students
r_ethi_unsatgl_rm,Numeric,% Did Not Meet Grade Level Performance -- Reading -- American Indian or Alaska Native Students
r_ethp_approgl_rm,Numeric,% Approaches Grade Level Performance -- Reading -- Native Hawaiian or Other Pacific Islander Students
r_ethp_mastrgl_rm,Numeric,% Masters Grade Level Performance -- Reading -- Native Hawaiian or Other Pacific Islander Students
r_ethp_meetsgl_rm,Numeric,% Meets Grade Level Performance -- Reading -- Native Hawaiian or Other Pacific Islander Students
r_ethp_rs,Numeric,Average Scale Score -- Reading -- Native Hawaiian or Other Pacific Islander Students
r_ethp_unsatgl_rm,Numeric,% Did Not Meet Grade Level Performance -- Reading -- Native Hawaiian or Other Pacific Islander Students
r_ethw_approgl_rm,Numeric,% Approaches Grade Level Performance -- Reading -- White Students
r_ethw_mastrgl_rm,Numeric,% Masters Grade Level Performance -- Reading -- White Students
r_ethw_meetsgl_rm,Numeric,% Meets Grade Level Performance -- Reading -- White Students
r_ethw_rs,Numeric,Average Scale Score -- Reading -- White Students
r_ethw_unsatgl_rm,Numeric,% Did Not Meet Grade Level Performance -- Reading -- White Students
r_sexf_approgl_rm,Numeric,% Approaches Grade Level Performance -- Reading -- Female Students
r_sexf_mastrgl_rm,Numeric,% Masters Grade Level Performance -- Reading -- Female Students
r_sexf_meetsgl_rm,Numeric,% Meets Grade Level Performance -- Reading -- Female Students
r_sexf_rs,Numeric,Average Scale Score -- Reading -- Female Students
r_sexf_unsatgl_rm,Numeric,% Did Not Meet Grade Level Performance -- Reading -- Female Students
r_sexm_approgl_rm,Numeric,% Approaches Grade Level Performance -- Reading -- Male Students
r_sexm_mastrgl_rm,Numeric,% Masters Grade Level Performance -- Reading -- Male Students
r_sexm_meetsgl_rm,Numeric,% Meets Grade Level Performance -- Reading -- Male Students
r_sexm_rs,Numeric,Average Scale Score -- Reading -- Male Students
r_sexm_unsatgl_rm,Numeric,% Did Not Meet Grade Level Performance -- Reading -- Male Students
r_ti10_approgl_rm,Numeric,% Approaches Grade Level Performance -- Reading -- Nonparticipant (Not Previous Participant Students)
r_ti10_mastrgl_rm,Numeric,% Masters Grade Level Performance -- Reading -- Nonparticipant (Not Previous Participant Students)
r_ti10_meetsgl_rm,Numeric,% Meets Grade Level Performance -- Reading -- Nonparticipant (Not Previous Participant Students)
r_ti10_rs,Numeric,Average Scale Score -- Reading -- Nonparticipant (Not Previous Participant Students)
r_ti10_unsatgl_rm,Numeric,% Did Not Meet Grade Level Performance -- Reading -- Nonparticipant (Not Previous Participant Students)
r_ti16_approgl_rm,Numeric,% Approaches Grade Level Performance -- Reading -- Schoolwide Program Participant Students
r_ti16_mastrgl_rm,Numeric,% Masters Grade Level Performance -- Reading -- Schoolwide Program Participant Students
r_ti16_meetsgl_rm,Numeric,% Meets Grade Level Performance -- Reading -- Schoolwide Program Participant Students
r_ti16_rs,Numeric,Average Scale Score -- Reading -- Schoolwide Program Participant Students
r_ti16_unsatgl_rm,Numeric,% Did Not Meet Grade Level Performance -- Reading -- Schoolwide Program Participant Students
r_ti17_approgl_rm,Numeric,% Approaches Grade Level Performance -- Reading -- Targeted Assistance Participant Students
r_ti17_mastrgl_rm,Numeric,% Masters Grade Level Performance -- Reading -- Targeted Assistance Participant Students
r_ti17_meetsgl_rm,Numeric,% Meets Grade Level Performance -- Reading -- Targeted Assistance Participant Students
r_ti17_rs,Numeric,Average Scale Score -- Reading -- Targeted Assistance Participant Students
r_ti17_unsatgl_rm,Numeric,% Did Not Meet Grade Level Performance -- Reading -- Targeted Assistance Participant Students
r_ti18_approgl_rm,Numeric,% Approaches Grade Level Performance -- Reading -- Nonparticipant (Previous Participant) Students
r_ti18_mastrgl_rm,Numeric,% Masters Grade Level Performance -- Reading -- Nonparticipant (Previous Participant) Students
r_ti18_meetsgl_rm,Numeric,% Meets Grade Level Performance -- Reading -- Nonparticipant (Previous Participant) Students
